mag_x,mag_y,mag_z,pitch,roll
-191.0,-29.0,-142.0,1.128163,-1.589193
-192.0,0.0,-137.0,1.172352,-1.487794
-189.0,19.0,-133.0,1.169072,-1.319444
-184.0,42.0,-134.0,1.094136,-1.106197
-162.0,60.0,-127.0,0.919227,-0.857808
-153.0,78.0,-128.0,0.684392,-0.60677
-128.0,97.0,-129.0,0.386467,-0.417556
-105.0,108.0,-128.0,0.028867,-0.293162
-87.0,110.0,-132.0,-0.303501,-0.204035
-86.0,114.0,-134.0,-0.573255,-0.161651
-88.0,114.0,-130.0,-0.777817,-0.12469
-104.0,112.0,-132.0,-0.879548,-0.020597
-128.0,100.0,-128.0,-0.870953,0.161909
-150.0,80.0,-127.0,-0.759882,0.349313
-170.0,58.0,-120.0,-0.558719,0.512141
-185.0,34.0,-130.0,-0.293201,0.60701
-191.0,4.0,-134.0,-0.022495,0.598932
-195.0,-17.0,-140.0,0.235231,0.457336
-192.0,-38.0,-143.0,0.458191,0.221004
-189.0,-52.0,-148.0,0.626809,-0.089235
-183.0,-78.0,-156.0,0.757109,-0.446426
-175.0,-83.0,-161.0,0.805707,-0.804466
-170.0,-87.0,-158.0,0.820327,-1.121402
-178.0,-81.0,-157.0,0.82398,-1.352057
-188.0,-59.0,-148.0,0.868627,-1.490115
-191.0,-26.0,-139.0,0.905311,-1.545432
-195.0,21.0,-135.0,0.955672,-1.489152
-173.0,57.0,-129.0,0.931789,-1.335576
-140.0,89.0,-123.0,0.785401,-1.122931
-100.0,108.0,-133.0,0.46945,-0.941701
-55.0,121.0,-142.0,0.069574,-0.790221
-23.0,123.0,-140.0,-0.338965,-0.727058
-14.0,123.0,-146.0,-0.721844,-0.67403
-13.0,115.0,-141.0,-1.05159,-0.637668
-30.0,121.0,-143.0,-1.365963,-0.408686
-63.0,118.0,-137.0,-1.580335,-0.048233
-103.0,109.0,-130.0,-1.655951,0.420635
-149.0,82.0,-124.0,-1.533069,0.953488
-177.0,46.0,-129.0,-1.210155,1.439154
-190.0,11.0,-137.0,-0.708557,1.679188
-195.0,-22.0,-141.0,-0.193652,1.650548
-186.0,-49.0,-151.0,0.229301,1.368692
-184.0,-63.0,-150.0,0.470261,0.89196
-183.0,-65.0,-152.0,0.555416,0.37542
-182.0,-56.0,-148.0,0.53851,-0.14141
-194.0,-36.0,-143.0,0.499088,-0.603253
-195.0,-6.0,-134.0,0.44139,-0.99132
-188.0,24.0,-131.0,0.438538,-1.290343
-175.0,53.0,-125.0,0.472847,-1.502863
-154.0,77.0,-124.0,0.509857,-1.635218
-124.0,93.0,-124.0,0.504529,-1.658229
-104.0,107.0,-132.0,0.467662,-1.60356
-81.0,113.0,-135.0,0.35024,-1.507944
-64.0,121.0,-137.0,0.151665,-1.378327
-55.0,121.0,-134.0,-0.056618,-1.215648
-42.0,120.0,-142.0,-0.259726,-1.062487
-36.0,121.0,-140.0,-0.454262,-0.901972
-37.0,122.0,-139.0,-0.623515,-0.73811
-29.0,122.0,-139.0,-0.828538,-0.690479
-13.0,126.0,-144.0,-1.079567,-0.726952
17.0,117.0,-151.0,-1.338568,-0.88265
52.0,105.0,-162.0,-1.583644,-1.125821
82.0,95.0,-171.0,-1.769394,-1.397812
105.0,76.0,-175.0,-1.845411,-1.638006
129.0,52.0,-182.0,-1.84789,-1.865259
146.0,34.0,-187.0,-1.82846,-2.049093
157.0,18.0,-196.0,-1.787704,-2.227804
165.0,-12.0,-199.0,-1.84349,-2.395007
170.0,-29.0,-199.0,-1.839564,-2.486911
171.0,-47.0,-202.0,-1.801326,-2.57734
170.0,-64.0,-210.0,-1.749972,-2.523165
166.0,-71.0,-216.0,-1.681702,-2.407554
169.0,-77.0,-213.0,-1.524106,-2.353568
170.0,-68.0,-211.0,-1.429037,-2.300241
171.0,-53.0,-210.0,-1.351442,-2.208688
171.0,-39.0,-205.0,-1.29171,-2.168645
165.0,-16.0,-198.0,-1.238263,-2.101942
152.0,25.0,-192.0,-1.127197,-1.862375
112.0,65.0,-173.0,-1.064845,-1.447311
62.0,100.0,-163.0,-0.974606,-0.983446
4.0,113.0,-149.0,-0.839861,-0.582269
-57.0,121.0,-137.0,-0.702862,-0.225501
-113.0,108.0,-130.0,-0.606737,-0.00245
-159.0,83.0,-127.0,-0.310004,-0.05139
-176.0,53.0,-132.0,-0.014607,-0.177324
-180.0,32.0,-131.0,0.202551,-0.30302
-188.0,22.0,-132.0,0.358435,-0.395182
-187.0,17.0,-137.0,0.452779,-0.504019
-193.0,7.0,-133.0,0.616436,-0.645392
-193.0,5.0,-139.0,0.709688,-0.779135
-191.0,-10.0,-141.0,0.758136,-0.913411
-195.0,-26.0,-144.0,0.824958,-1.034781
-186.0,-51.0,-152.0,0.845024,-1.104619
-171.0,-90.0,-162.0,0.8109,-1.148113
-160.0,-105.0,-169.0,0.767624,-1.193197
-159.0,-103.0,-166.0,0.767271,-1.23181
-165.0,-98.0,-164.0,0.758929,-1.297569
-181.0,-79.0,-157.0,0.800473,-1.352802
-189.0,-47.0,-148.0,0.917131,-1.358485
-190.0,3.0,-137.0,0.950689,-1.256108
-173.0,51.0,-130.0,0.895582,-1.071202
-152.0,81.0,-130.0,0.718467,-0.87615
-122.0,97.0,-129.0,0.450554,-0.734669
-85.0,116.0,-133.0,0.079232,-0.686939
-58.0,124.0,-139.0,-0.254738,-0.723183
-26.0,129.0,-148.0,-0.545066,-0.812935
1.0,116.0,-147.0,-0.79689,-0.914045
19.0,111.0,-155.0,-1.056681,-0.988505
26.0,111.0,-153.0,-1.25479,-1.002397
20.0,116.0,-159.0,-1.431219,-0.993696
25.0,114.0,-155.0,-1.584037,-0.93305
16.0,112.0,-153.0,-1.695844,-0.768163
-13.0,123.0,-148.0,-1.7257,-0.568858
-34.0,122.0,-140.0,-1.704523,-0.346028
-65.0,120.0,-135.0,-1.555011,-0.079677
-100.0,107.0,-128.0,-1.265605,0.227476
-132.0,92.0,-129.0,-0.89635,0.481874
-160.0,66.0,-129.0,-0.453418,0.705309
-186.0,33.0,-135.0,0.059453,0.831875
-192.0,-4.0,-140.0,0.536464,0.821533
-186.0,-37.0,-145.0,0.851667,0.628625
-188.0,-50.0,-147.0,1.013594,0.285217
-187.0,-48.0,-145.0,1.024826,-0.12609
-191.0,-31.0,-144.0,0.951712,-0.547122
-192.0,-4.0,-138.0,0.881038,-0.914962
-183.0,42.0,-130.0,0.867381,-1.205003
-158.0,73.0,-129.0,0.872447,-1.390175
-130.0,98.0,-128.0,0.857278,-1.456731
-99.0,107.0,-134.0,0.762952,-1.440126
-74.0,116.0,-139.0,0.587035,-1.393806
-49.0,118.0,-138.0,0.397643,-1.333
27.0,115.0,-153.0,-1.318802,-0.556131
25.0,111.0,-153.0,-1.369482,-0.550569
26.0,112.0,-159.0,-1.409018,-0.565818
31.0,111.0,-155.0,-1.445077,-0.588892
25.0,109.0,-159.0,-1.458331,-0.624174
16.0,113.0,-156.0,-1.445172,-0.629065
2.0,125.0,-149.0,-1.405854,-0.584753
-23.0,119.0,-143.0,-1.336071,-0.496621
-57.0,117.0,-137.0,-1.301605,-0.353924
-89.0,112.0,-129.0,-1.197491,-0.177376
-113.0,100.0,-129.0,-1.032879,-0.03613
-135.0,91.0,-125.0,-0.831324,0.077169
-146.0,79.0,-128.0,-0.647325,0.14171
-160.0,78.0,-129.0,-0.44084,0.119823
-159.0,73.0,-127.0,-0.324901,0.040699
-153.0,74.0,-125.0,-0.280172,-0.047688
-144.0,85.0,-122.0,-0.295958,-0.18668
-131.0,94.0,-129.0,-0.34415,-0.353708
-106.0,108.0,-135.0,-0.392679,-0.520795
-72.0,118.0,-136.0,-0.441308,-0.708222
-24.0,121.0,-146.0,-0.497771,-0.916154
27.0,115.0,-158.0,-0.534122,-1.093151
64.0,97.0,-167.0,-0.563117,-1.26246
87.0,85.0,-175.0,-0.597881,-1.393696
99.0,75.0,-173.0,-0.683947,-1.471838
102.0,77.0,-174.0,-0.847895,-1.55825
93.0,80.0,-173.0,-1.054738,-1.59796
73.0,93.0,-164.0,-1.269046,-1.507844
38.0,105.0,-160.0,-1.501044,-1.298587
-1.0,117.0,-148.0,-1.677637,-0.963022
-51.0,124.0,-138.0,-1.711711,-0.554259
-93.0,116.0,-134.0,-1.603141,-0.155399
-130.0,98.0,-128.0,-1.366505,0.186735
-137.0,-133.0,-179.0,1.327855,-2.276407
-154.0,-116.0,-169.0,1.344083,-2.586446
-173.0,-90.0,-161.0,1.442101,-2.760836
-156.0,70.0,-128.0,0.291922,0.056559
-159.0,68.0,-126.0,0.179426,0.082192
-171.0,50.0,-129.0,0.204973,0.107862
-182.0,39.0,-135.0,0.289572,0.116526
-189.0,16.0,-137.0,0.413951,0.105028
-191.0,-8.0,-140.0,0.634004,0.0829
-186.0,-40.0,-149.0,0.846597,-0.028447
-180.0,-72.0,-156.0,1.038007,-0.207501
-165.0,-98.0,-165.0,1.186454,-0.501408
-152.0,-117.0,-172.0,1.288326,-0.866129
-140.0,-123.0,-175.0,1.317407,-1.212342
-145.0,-120.0,-176.0,1.365924,-1.50586
-147.0,-130.0,-153.0,2.021205,-1.771895
-148.0,-128.0,-153.0,2.018677,-2.093684
-157.0,-117.0,-146.0,2.047495,-2.311566
-169.0,-99.0,-145.0,2.093694,-2.406836
-183.0,-78.0,-137.0,2.10588,-2.33684
-192.0,-48.0,-131.0,2.122129,-2.043349
-196.0,-25.0,-125.0,2.153877,-1.605706
-190.0,10.0,-122.0,2.107606,-1.099817
-183.0,32.0,-124.0,1.873942,-0.571663
-169.0,52.0,-117.0,1.496516,-0.126728
-149.0,75.0,-121.0,0.993429,0.214026
-137.0,79.0,-119.0,0.523968,0.41738
-142.0,82.0,-124.0,0.065146,0.515892
-149.0,70.0,-122.0,-0.287122,0.400718
-169.0,62.0,-117.0,-0.445692,0.355373
-183.0,33.0,-121.0,-0.431272,0.333604
-196.0,-2.0,-123.0,-0.348558,0.301876
-195.0,-38.0,-133.0,-0.221106,0.225914
-192.0,-50.0,-135.0,-0.041226,0.238928
-190.0,-61.0,-136.0,0.099921,0.098559
-194.0,-46.0,-129.0,0.151869,-0.098978
-198.0,-24.0,-129.0,0.150378,-0.323464
-191.0,8.0,-118.0,0.151517,-0.52835
-188.0,30.0,-123.0,0.115176,-0.646825
-179.0,39.0,-119.0,0.084173,-0.717138
-182.0,45.0,-123.0,0.025832,-0.727972
-176.0,39.0,-122.0,-0.060021,-0.692987
-176.0,42.0,-118.0,-0.154998,-0.617571
-178.0,42.0,-115.0,-0.217337,-0.534438
-181.0,37.0,-116.0,-0.303356,-0.431498
-182.0,42.0,-117.0,-0.404833,-0.341933
-179.0,46.0,-115.0,-0.502439,-0.270608
-176.0,44.0,-115.0,-0.572562,-0.203873
-175.0,44.0,-120.0,-0.619519,-0.144473
-180.0,44.0,-116.0,-0.635228,-0.094634
-176.0,49.0,-115.0,-0.633944,-0.068761
-166.0,57.0,-115.0,-0.627028,-0.051214
-163.0,64.0,-122.0,-0.606049,-0.033278
-151.0,69.0,-120.0,-0.56243,-0.017727
-158.0,71.0,-123.0,-0.49925,0.021332
-159.0,65.0,-120.0,-0.374911,0.069981
-169.0,52.0,-120.0,-0.216524,0.13482
-183.0,37.0,-118.0,-0.057249,0.172505
-190.0,22.0,-117.0,0.064126,0.150462
-186.0,14.0,-123.0,0.139557,0.090678
-192.0,17.0,-119.0,0.151494,0.032521
-187.0,22.0,-118.0,0.107447,-0.021634
-185.0,38.0,-120.0,0.015405,-0.053401
-172.0,53.0,-117.0,-0.127476,-0.058884
-190.0,13.0,-123.0,1.231726,-0.39122
-184.0,11.0,-124.0,1.251483,-0.412692
-192.0,9.0,-121.0,1.261857,-0.426107
-192.0,11.0,-125.0,1.270439,-0.430261
-192.0,10.0,-124.0,1.283497,-0.429963
-192.0,9.0,-120.0,1.296094,-0.427875
-187.0,13.0,-122.0,1.29869,-0.423813
-189.0,12.0,-120.0,1.307641,-0.419025
-190.0,14.0,-122.0,1.313765,-0.411772
-188.0,12.0,-118.0,1.327449,-0.397483
-186.0,10.0,-125.0,1.357635,-0.43834
-192.0,18.0,-125.0,1.262824,-0.432335
-183.0,31.0,-121.0,1.088506,-0.472006
-178.0,47.0,-115.0,0.875749,-0.495037
-166.0,54.0,-120.0,0.643082,-0.48771
-162.0,61.0,-118.0,0.392131,-0.418157
-153.0,72.0,-117.0,0.283738,-0.307015
-143.0,81.0,-120.0,0.217801,-0.147513
-128.0,90.0,-122.0,0.161659,-0.00608
-107.0,97.0,-123.0,0.070024,0.042217
-106.0,101.0,-125.0,0.006433,0.058985
-110.0,100.0,-126.0,-0.021504,-0.03294
-123.0,90.0,-123.0,-0.022878,-0.085564
-139.0,80.0,-117.0,0.121839,-0.374998
-161.0,63.0,-116.0,0.314177,-0.624983
-181.0,38.0,-119.0,0.362373,-0.812613
-190.0,24.0,-119.0,0.234604,-0.934062
-191.0,22.0,-116.0,0.073283,-0.980027
-186.0,32.0,-118.0,-0.082509,-0.973741
-179.0,45.0,-118.0,-0.233069,-0.945074
-167.0,55.0,-118.0,-0.342338,-0.924303
-157.0,67.0,-122.0,-0.378698,-0.882538
