mag_x,mag_y,mag_z,pitch,roll
-138.0,94.0,-116.0,0.245489,-0.218199
-133.0,93.0,-121.0,0.24706,-0.212019
-133.0,98.0,-118.0,0.243947,-0.204805
-136.0,98.0,-118.0,0.243487,-0.196
-138.0,94.0,-121.0,0.243043,-0.189348
-134.0,92.0,-120.0,0.242325,-0.180897
-139.0,95.0,-118.0,0.245148,-0.171012
-138.0,98.0,-119.0,0.244499,-0.158144
-138.0,95.0,-120.0,0.238148,-0.148282
-139.0,97.0,-122.0,0.231638,-0.143365
-135.0,98.0,-119.0,0.221999,-0.14308
-136.0,96.0,-123.0,0.213031,-0.148026
-138.0,93.0,-121.0,0.204129,-0.157288
-140.0,98.0,-118.0,0.194037,-0.17246
-138.0,95.0,-116.0,0.196581,-0.186019
-138.0,97.0,-115.0,0.207739,-0.192243
-138.0,96.0,-116.0,0.225606,-0.184713
-135.0,94.0,-117.0,0.26065,-0.185363
-135.0,92.0,-121.0,0.305698,-0.17829
-144.0,96.0,-121.0,0.354013,-0.172937
-141.0,95.0,-119.0,0.390913,-0.17587
-139.0,96.0,-120.0,0.419487,-0.192845
-138.0,99.0,-119.0,0.434448,-0.205501
-135.0,96.0,-118.0,0.443595,-0.221214
-141.0,97.0,-120.0,0.439674,-0.235455
-135.0,94.0,-118.0,0.390637,-0.236147
-131.0,99.0,-116.0,0.314219,-0.24611
-119.0,112.0,-117.0,0.199369,-0.273284
-90.0,119.0,-126.0,0.020399,-0.30334
-48.0,125.0,-130.0,-0.237509,-0.392992
15.0,123.0,-143.0,-0.514095,-0.571913
76.0,98.0,-158.0,-0.679592,-0.850016
126.0,63.0,-173.0,-0.745918,-1.2094
154.0,22.0,-192.0,-0.708676,-1.634876
167.0,-20.0,-202.0,-0.645945,-2.037941
177.0,-54.0,-205.0,-0.582247,-2.41722
177.0,-83.0,-210.0,-0.629373,-2.764671
166.0,-99.0,-215.0,-0.739049,-3.07438
167.0,-110.0,-214.0,-0.885453,-3.317677
158.0,-122.0,-212.0,-1.0047,-3.487127
158.0,-122.0,-216.0,-1.085651,-3.596028
156.0,-121.0,-215.0,-1.150881,-3.65792
156.0,-129.0,-217.0,-1.204536,-3.671126
160.0,-120.0,-214.0,-1.224286,-3.637393
165.0,-111.0,-214.0,-1.220229,-3.567599
168.0,-99.0,-218.0,-1.239308,-3.441388
175.0,-79.0,-209.0,-1.30598,-3.190701
181.0,-35.0,-198.0,-1.476145,-2.751164
153.0,29.0,-183.0,-1.675303,-2.225958
101.0,76.0,-170.0,-1.818868,-1.534642
35.0,119.0,-147.0,-1.815337,-0.749367
-45.0,127.0,-132.0,-1.635456,0.010019
-112.0,109.0,-120.0,-1.256649,0.539417
-159.0,74.0,-121.0,-0.785559,0.905823
-184.0,23.0,-123.0,-0.284717,0.981586
-193.0,-27.0,-135.0,0.166241,0.81738
-175.0,-76.0,-150.0,0.51648,0.435775
-152.0,-119.0,-168.0,0.681199,-0.098822
-112.0,-155.0,-181.0,0.693189,-0.735878
-74.0,-171.0,-192.0,0.555605,-1.337856
-40.0,-188.0,-205.0,0.314911,-1.875993
-11.0,-198.0,-208.0,0.043627,-2.384573
