mag_x,mag_y,mag_z,pitch,roll
-110.0,118.0,-129.0,0.330597,0.039065
-114.0,120.0,-128.0,0.322469,0.044356
-113.0,119.0,-127.0,0.308941,0.045328
-111.0,121.0,-128.0,0.282805,0.04036
-115.0,120.0,-131.0,0.255956,0.033463
-111.0,119.0,-130.0,0.227269,0.021654
-107.0,120.0,-132.0,0.188726,0.012083
-112.0,121.0,-127.0,0.163708,0.002666
-109.0,119.0,-124.0,0.157211,-0.003492
-114.0,114.0,-125.0,0.163181,-0.003488
-109.0,119.0,-131.0,0.17093,0.005104
-108.0,121.0,-126.0,0.184188,0.017973
-114.0,119.0,-128.0,0.194296,0.027719
-110.0,118.0,-129.0,0.20181,0.029083
-109.0,118.0,-125.0,0.208952,0.025787
-112.0,119.0,-127.0,0.226556,0.023118
-112.0,122.0,-131.0,0.245695,0.013872
-112.0,116.0,-128.0,0.261854,0.009421
-110.0,115.0,-130.0,0.260164,0.005967
-115.0,113.0,-130.0,0.26207,0.006065
-120.0,118.0,-131.0,0.259565,0.005242
-122.0,115.0,-127.0,0.254271,0.008876
-125.0,107.0,-128.0,-0.17299,-0.283703
-137.0,105.0,-121.0,-0.429077,-0.643099
-133.0,114.0,-126.0,-0.704841,-0.955091
-113.0,117.0,-125.0,-0.948249,-1.222929
-78.0,132.0,-134.0,-1.120935,-1.500676
-19.0,133.0,-139.0,-0.779447,-1.563933
58.0,109.0,-163.0,-0.532796,-1.469575
130.0,75.0,-177.0,-0.363311,-1.321023
162.0,20.0,-194.0,-0.325397,-1.296054
180.0,-31.0,-207.0,-0.384655,-1.389746
183.0,-71.0,-215.0,-0.485801,-1.533589
174.0,-106.0,-220.0,-0.690224,-1.810944
156.0,-130.0,-215.0,-0.863378,-2.185015
145.0,-150.0,-219.0,-0.98967,-2.484467
130.0,-162.0,-217.0,-1.077398,-2.730029
121.0,-174.0,-217.0,-1.047361,-2.958576
115.0,-175.0,-220.0,-1.031596,-3.082632
111.0,-175.0,-217.0,-0.951075,-3.16843
105.0,-180.0,-225.0,-0.78251,-3.26717
90.0,-190.0,-216.0,-0.591133,-3.357174
82.0,-192.0,-216.0,-0.389754,-3.433562
66.0,-197.0,-212.0,-0.080147,-3.489349
51.0,-201.0,-209.0,0.307222,-3.520745
38.0,-202.0,-204.0,0.717458,-3.503473
27.0,-207.0,-207.0,1.129786,-3.483327
18.0,-207.0,-206.0,1.460757,-3.393932
21.0,-204.0,-210.0,1.729464,-3.361848
45.0,-200.0,-210.0,1.838657,-3.350703
71.0,-192.0,-216.0,1.751884,-3.374947
107.0,-177.0,-217.0,1.485229,-3.375955
147.0,-145.0,-220.0,1.033272,-3.335682
174.0,-95.0,-216.0,0.466163,-3.258811
179.0,-33.0,-209.0,-0.234733,-3.017978
167.0,15.0,-196.0,-0.830946,-2.629815
153.0,38.0,-188.0,-1.248563,-2.22259
150.0,48.0,-185.0,-1.505501,-1.973282
154.0,41.0,-192.0,-1.678794,-1.900594
158.0,27.0,-191.0,-1.711383,-2.048211
172.0,5.0,-195.0,-1.657321,-2.432828
183.0,-33.0,-204.0,-1.440809,-3.021803
173.0,-97.0,-213.0,-0.930482,-3.700231
130.0,-167.0,-217.0,-0.168783,-4.287406
64.0,-198.0,-211.0,0.855978,-4.50911
-119.0,-168.0,-172.0,0.259915,-0.491302
-89.0,-188.0,-180.0,0.257245,-0.440475
-55.0,-193.0,-190.0,0.358699,-0.480391
-5.0,-212.0,-202.0,0.526543,-0.552378
59.0,-200.0,-210.0,0.715427,-0.795466
111.0,-176.0,-216.0,0.839572,-1.127527
158.0,-136.0,-221.0,0.733695,-1.505847
178.0,-79.0,-212.0,0.362439,-1.879609
178.0,-20.0,-205.0,-0.207657,-2.125714
154.0,39.0,-191.0,-0.859523,-2.081658
100.0,87.0,-170.0,-1.466884,-1.847266
40.0,126.0,-155.0,-1.913094,-1.459547
-28.0,134.0,-144.0,-2.113959,-0.921681
-71.0,134.0,-133.0,-2.155722,-0.510202
-91.0,126.0,-129.0,-2.10429,-0.23736
-110.0,119.0,-123.0,-1.945148,-0.122387
-146.0,103.0,-122.0,-1.728377,-0.093837
-176.0,79.0,-123.0,-1.473535,-0.16548
-193.0,54.0,-129.0,-1.11142,-0.168525
-202.0,34.0,-131.0,-0.677936,-0.21015
-204.0,21.0,-134.0,-0.277491,-0.292168
-205.0,15.0,-137.0,0.092849,-0.441282
-208.0,10.0,-138.0,0.409535,-0.656721
-211.0,0.0,-134.0,0.675631,-0.907815
-207.0,-2.0,-138.0,0.904988,-1.143302
-204.0,4.0,-133.0,1.041171,-1.276833
-203.0,22.0,-132.0,1.253008,-1.377121
-209.0,24.0,-126.0,1.44235,-1.419627
-208.0,4.0,-134.0,1.556959,-1.463093
-210.0,-28.0,-144.0,1.595732,-1.471248
