mag_x,mag_y,mag_z,pitch,roll
-161.0,81.0,-118.0,0.436603,0.062471
-162.0,80.0,-122.0,0.436786,0.065198
-157.0,82.0,-119.0,0.451284,0.068221
-160.0,82.0,-116.0,0.484702,0.071836
-157.0,81.0,-115.0,0.506724,0.069076
-156.0,78.0,-118.0,0.542492,0.062338
-161.0,81.0,-120.0,0.575012,0.058218
-159.0,82.0,-119.0,0.585615,0.045365
-157.0,76.0,-118.0,0.578357,0.026575
-157.0,77.0,-116.0,0.565909,0.012271
-153.0,78.0,-116.0,0.535291,0.001909
-160.0,78.0,-116.0,0.490216,-0.007758
-159.0,79.0,-118.0,0.454143,-0.00939
-160.0,82.0,-119.0,0.423391,-0.008959
-161.0,80.0,-119.0,0.403357,-0.00823
-156.0,82.0,-114.0,0.388672,-0.005972
-159.0,76.0,-114.0,0.381355,-0.000835
-158.0,84.0,-117.0,0.385626,0.001404
-160.0,82.0,-118.0,0.391182,0.007303
-157.0,81.0,-117.0,0.389826,0.013703
-158.0,81.0,-116.0,0.392954,0.022654
-159.0,80.0,-119.0,0.401043,0.034236
-155.0,82.0,-116.0,0.410678,0.045073
-158.0,81.0,-118.0,0.431519,0.052466
-159.0,80.0,-116.0,0.46185,0.057903
-160.0,76.0,-118.0,0.484432,0.057886
-157.0,80.0,-115.0,0.495258,0.047765
-164.0,77.0,-118.0,0.490738,0.038323
-161.0,85.0,-114.0,0.486098,0.02344
-159.0,82.0,-115.0,0.444558,-0.002998
-152.0,86.0,-115.0,0.388664,-0.032528
-138.0,96.0,-117.0,0.299002,-0.06247
-118.0,111.0,-124.0,0.127564,-0.119917
-81.0,122.0,-130.0,-0.168706,-0.198734
-23.0,128.0,-146.0,-0.495043,-0.398362
65.0,105.0,-159.0,-0.759388,-0.774398
123.0,68.0,-177.0,-0.887079,-1.315404
160.0,19.0,-192.0,-0.776138,-1.900358
176.0,-23.0,-199.0,-0.563879,-2.442358
176.0,-65.0,-205.0,-0.386424,-2.857466
171.0,-99.0,-214.0,-0.274164,-3.164129
160.0,-125.0,-216.0,-0.23016,-3.36584
149.0,-137.0,-213.0,-0.311629,-3.4745
139.0,-151.0,-215.0,-0.363867,-3.536749
137.0,-155.0,-211.0,-0.417518,-3.538774
140.0,-156.0,-211.0,-0.530706,-3.482697
142.0,-148.0,-213.0,-0.683292,-3.392398
145.0,-144.0,-214.0,-0.781114,-3.308417
153.0,-137.0,-213.0,-0.880596,-3.179098
161.0,-122.0,-214.0,-0.987978,-3.001415
173.0,-94.0,-210.0,-1.097521,-2.74572
179.0,-55.0,-199.0,-1.254904,-2.314323
161.0,10.0,-186.0,-1.546662,-1.666107
109.0,76.0,-165.0,-1.742972,-0.837206
32.0,118.0,-145.0,-1.693842,0.043245
-50.0,130.0,-128.0,-1.395105,0.772655
-119.0,108.0,-117.0,-0.887684,1.159261
-170.0,69.0,-119.0,-0.230255,1.206639
-199.0,12.0,-129.0,0.37479,0.929224
-193.0,-49.0,-146.0,0.811532,0.369884
-162.0,-110.0,-167.0,0.970469,-0.347635
-116.0,-147.0,-182.0,0.827096,-1.085485
-77.0,-179.0,-196.0,0.45485,-1.735765
-30.0,-193.0,-207.0,-0.066076,-2.218207
14.0,-194.0,-212.0,-0.630538,-2.508504
50.0,-196.0,-223.0,-1.089307,-2.641053
81.0,-185.0,-225.0,-1.419093,-2.699727
100.0,-180.0,-232.0,-1.613825,-2.755023
118.0,-169.0,-232.0,-1.666816,-2.840909
133.0,-161.0,-233.0,-1.633765,-2.977924
137.0,-151.0,-232.0,-1.512399,-3.159155
137.0,-150.0,-235.0,-1.333626,-3.389709
139.0,-152.0,-235.0,-1.093506,-3.648105
135.0,-157.0,-234.0,-0.722832,-3.914699
132.0,-154.0,-237.0,-0.260656,-4.177519
115.0,-168.0,-234.0,0.270624,-4.3807
112.0,-165.0,-232.0,0.806198,-4.491046
111.0,-163.0,-231.0,1.261242,-4.522556
124.0,-163.0,-237.0,1.461803,-4.479779
144.0,-143.0,-235.0,1.359527,-4.391667
169.0,-95.0,-229.0,0.802515,-4.248381
178.0,-50.0,-224.0,-0.031067,-3.933076
171.0,-9.0,-210.0,-0.916735,-3.368862
151.0,25.0,-199.0,-1.642773,-2.633073
127.0,53.0,-191.0,-2.118736,-1.882998
103.0,77.0,-186.0,-2.279945,-1.303825
83.0,85.0,-177.0,-2.22188,-0.95996
84.0,89.0,-174.0,-2.088663,-0.809248
81.0,87.0,-177.0,-1.926483,-0.838493
86.0,88.0,-181.0,-1.747152,-1.074718
101.0,76.0,-181.0,-1.535046,-1.46521
127.0,56.0,-194.0,-1.344219,-1.971552
161.0,17.0,-207.0,-1.082478,-2.611596
176.0,-53.0,-226.0,-0.640805,-3.252565
158.0,-125.0,-233.0,-0.008263,-3.707055
93.0,-174.0,-230.0,0.730474,-3.898975
11.0,-195.0,-211.0,1.483192,-3.709885
-76.0,-175.0,-192.0,2.019013,-3.17778
-153.0,-119.0,-165.0,2.221028,-2.464586
-190.0,-45.0,-139.0,2.030549,-1.6995
-193.0,25.0,-123.0,1.405694,-1.016668
-153.0,84.0,-117.0,0.362321,-0.656366
-80.0,120.0,-127.0,-0.778259,-0.885565
2.0,125.0,-149.0,-1.781974,-1.703192
75.0,102.0,-158.0,-2.289717,-2.884621
130.0,59.0,-177.0,-2.196747,-4.057345
161.0,19.0,-189.0,-1.667046,-4.903486
173.0,-27.0,-197.0,-1.024362,-5.298332
176.0,-64.0,-208.0,-0.393746,-5.304224
169.0,-95.0,-212.0,0.069277,-5.05122
160.0,-124.0,-217.0,0.329981,-4.631375
146.0,-135.0,-214.0,0.365431,-4.169415
166.0,-117.0,-217.0,-0.602534,-1.979924
171.0,-96.0,-216.0,-0.833042,-1.546209
173.0,-85.0,-213.0,-1.071777,-1.361786
175.0,-83.0,-212.0,-1.236133,-1.389533
174.0,-100.0,-213.0,-1.323744,-1.607182
157.0,-123.0,-218.0,-1.301908,-2.031767
146.0,-148.0,-215.0,-1.155982,-2.576098
