mag_x,mag_y,mag_z,pitch,roll
-166.0,81.0,-125.0,0.855308,-0.156278
-171.0,79.0,-119.0,0.836472,-0.157797
-169.0,80.0,-122.0,0.8088,-0.157823
-169.0,81.0,-123.0,0.790749,-0.155174
-171.0,81.0,-125.0,0.776432,-0.150812
-168.0,81.0,-125.0,0.770342,-0.145919
-173.0,78.0,-126.0,0.761508,-0.138846
-168.0,82.0,-123.0,0.757954,-0.131643
-169.0,79.0,-124.0,0.748378,-0.128386
-170.0,77.0,-125.0,0.750474,-0.128098
-164.0,78.0,-123.0,0.760566,-0.132028
-170.0,81.0,-122.0,0.781397,-0.131352
-170.0,81.0,-123.0,0.803289,-0.12962
-174.0,77.0,-123.0,0.831539,-0.12183
-171.0,82.0,-126.0,0.849663,-0.118214
-170.0,82.0,-122.0,0.863497,-0.112927
-167.0,80.0,-121.0,0.876415,-0.11002
-169.0,81.0,-128.0,0.901384,-0.1103
-169.0,78.0,-127.0,0.91964,-0.112272
-165.0,82.0,-123.0,0.941492,-0.111953
-166.0,78.0,-125.0,0.955222,-0.117446
-172.0,83.0,-126.0,0.95144,-0.121972
-171.0,83.0,-128.0,0.944379,-0.126565
-170.0,78.0,-127.0,0.93411,-0.138271
-175.0,79.0,-122.0,0.854562,-0.106107
-167.0,82.0,-124.0,0.757129,-0.142702
-148.0,98.0,-119.0,0.617314,-0.170837
-119.0,114.0,-124.0,0.396775,-0.206427
-78.0,132.0,-135.0,0.047764,-0.282208
-12.0,132.0,-145.0,-0.289763,-0.509523
49.0,115.0,-161.0,-0.621652,-0.773525
103.0,88.0,-174.0,-0.937801,-1.182173
141.0,52.0,-187.0,-1.152908,-1.699384
166.0,18.0,-197.0,-1.196765,-2.21344
177.0,-17.0,-204.0,-1.169069,-2.658492
182.0,-45.0,-212.0,-1.147344,-3.018451
184.0,-65.0,-211.0,-1.080098,-3.272241
180.0,-77.0,-213.0,-1.031595,-3.383156
186.0,-74.0,-214.0,-1.065047,-3.367922
182.0,-66.0,-213.0,-1.128162,-3.34282
180.0,-75.0,-214.0,-1.145037,-3.360689
174.0,-98.0,-223.0,-1.083565,-3.398057
161.0,-131.0,-217.0,-1.011444,-3.312878
145.0,-156.0,-220.0,-0.893367,-3.339574
121.0,-160.0,-220.0,-0.755946,-3.349731
108.0,-177.0,-221.0,-0.623481,-3.275868
100.0,-183.0,-215.0,-0.548141,-3.157241
95.0,-190.0,-219.0,-0.441989,-3.155577
95.0,-185.0,-215.0,-0.220183,-3.123766
