mag_x,mag_y,mag_z,pitch,roll
174.0,-30.0,-203.0,-1.182789,-2.05245
173.0,-37.0,-203.0,-1.162478,-2.290061
174.0,-51.0,-209.0,-1.193534,-2.68122
168.0,-85.0,-209.0,-1.013352,-3.059829
167.0,-94.0,-211.0,-0.911043,-3.168204
166.0,-96.0,-215.0,-0.807084,-3.230927
167.0,-92.0,-210.0,-0.740327,-3.201622
171.0,-74.0,-203.0,-0.735519,-3.109294
172.0,-52.0,-201.0,-0.79447,-2.936946
171.0,-13.0,-199.0,-0.924987,-2.620325
150.0,36.0,-187.0,-1.188228,-2.080598
91.0,87.0,-167.0,-1.302928,-1.436921
23.0,118.0,-154.0,-1.290916,-0.778952
-51.0,122.0,-136.0,-1.128213,-0.204741
-153.0,83.0,-124.0,-0.681096,-2.148614
64.0,-192.0,-208.0,-0.3307,-3.065832
48.0,-189.0,-205.0,-1.013371,-2.837039
21.0,-195.0,-196.0,-0.872644,-2.909039
-13.0,-193.0,-192.0,-0.643557,-3.059547
-45.0,-186.0,-183.0,-0.267716,-3.237008
-56.0,-185.0,-182.0,0.153819,-3.306338
-57.0,-186.0,-178.0,0.528308,-3.236662
-39.0,-185.0,-186.0,0.819844,-3.067599
-16.0,-194.0,-192.0,1.007322,-2.854555
25.0,-193.0,-199.0,1.033902,-2.644487
84.0,-179.0,-214.0,0.801002,-2.452143
142.0,-137.0,-214.0,0.523888,-2.286128
171.0,-75.0,-208.0,0.151062,-2.102983
168.0,-9.0,-193.0,-0.288491,-1.850309
130.0,58.0,-181.0,-0.670128,-1.541225
60.0,102.0,-163.0,-0.912204,-1.22069
-21.0,124.0,-141.0,-1.181747,-0.887592
-95.0,113.0,-129.0,-1.366499,-0.503874
-152.0,85.0,-127.0,-1.422137,-0.058877
-184.0,31.0,-134.0,-1.321826,0.366616
-192.0,-28.0,-142.0,-1.080439,0.655257
-174.0,-75.0,-157.0,-0.728448,0.818755
-147.0,-121.0,-172.0,-0.364191,0.749369
-104.0,-154.0,-184.0,0.146954,0.232489
154.0,-127.0,-232.0,-0.947335,-3.040726
166.0,-108.0,-231.0,-0.950289,-2.889467
167.0,-95.0,-234.0,-0.963703,-2.77168
170.0,-95.0,-230.0,-0.941554,-2.788478
165.0,-95.0,-233.0,-0.846462,-2.893185
159.0,-109.0,-232.0,-0.750645,-3.062042
152.0,-120.0,-230.0,-0.524134,-3.267627
133.0,-148.0,-234.0,-0.173681,-3.476614
94.0,-176.0,-230.0,0.298111,-3.633477
54.0,-187.0,-227.0,0.875008,-3.681101
-3.0,-188.0,-212.0,1.501265,-3.546834
-54.0,-180.0,-201.0,1.989367,-3.246193
-105.0,-154.0,-185.0,2.317312,-2.788854
-142.0,-121.0,-172.0,2.442971,-2.212061
-174.0,-82.0,-155.0,2.317882,-1.589059
-190.0,-38.0,28.0,3.091604,-1.27843
107.0,-165.0,-213.0,2.977525,-1.227783
112.0,-166.0,-212.0,2.755737,-1.368926
126.0,-156.0,-216.0,2.479129,-1.652233
140.0,-147.0,-215.0,2.101705,-1.964243
156.0,-122.0,-215.0,1.592497,-2.233623
178.0,-69.0,-206.0,0.809727,-2.39708
157.0,12.0,-192.0,-0.131191,-2.299755
106.0,80.0,-172.0,-1.101071,-1.811338
24.0,117.0,-155.0,-1.808952,-1.010468
