mag_x,mag_y,mag_z,pitch,roll
-68.0,123.0,-128.0,-0.433336,-0.311609
-62.0,122.0,-128.0,-0.415279,-0.300869
-68.0,124.0,-129.0,-0.394255,-0.285611
-73.0,123.0,-131.0,-0.374201,-0.277851
-66.0,126.0,-129.0,-0.355634,-0.270457
-72.0,124.0,-131.0,-0.346145,-0.26639
-66.0,124.0,-127.0,-0.340476,-0.263613
-67.0,123.0,-128.0,-0.340485,-0.258012
-70.0,128.0,-131.0,-0.343877,-0.257663
-66.0,123.0,-131.0,-0.348061,-0.260775
-66.0,127.0,-128.0,-0.350339,-0.266204
-69.0,123.0,-128.0,-0.357644,-0.27324
-69.0,121.0,-131.0,-0.368092,-0.285192
-67.0,126.0,-129.0,-0.378497,-0.296063
-64.0,129.0,-126.0,-0.39379,-0.306613
-67.0,125.0,-130.0,-0.414331,-0.317465
-68.0,124.0,-132.0,-0.435783,-0.328714
-67.0,126.0,-131.0,-0.451443,-0.342247
-70.0,125.0,-132.0,-0.453964,-0.352143
-64.0,127.0,-128.0,-0.446134,-0.361126
-67.0,127.0,-133.0,-0.430061,-0.364219
-64.0,125.0,-129.0,-0.410273,-0.365744
-65.0,127.0,-128.0,-0.388118,-0.365256
-71.0,120.0,-134.0,-0.3743,-0.362418
-65.0,121.0,-131.0,-0.362701,-0.356624
-61.0,126.0,-128.0,-0.354512,-0.352192
-64.0,126.0,-128.0,-0.342316,-0.347765
-64.0,124.0,-126.0,-0.332718,-0.33559
-65.0,127.0,-132.0,-0.277926,-0.299746
-78.0,127.0,-122.0,-0.211872,-0.253283
-71.0,124.0,-125.0,-0.148528,-0.23152
-64.0,126.0,-128.0,-0.14509,-0.228616
-47.0,126.0,-133.0,-0.212068,-0.26275
-26.0,129.0,-138.0,-0.387087,-0.351777
10.0,126.0,-144.0,-0.643812,-0.530353
50.0,110.0,-158.0,-0.945571,-0.81667
94.0,91.0,-169.0,-1.204893,-1.18458
119.0,69.0,-175.0,-1.387206,-1.617743
137.0,47.0,-181.0,-1.464797,-2.068904
147.0,33.0,-188.0,-1.450546,-2.438781
157.0,24.0,-187.0,-1.403132,-2.67931
