=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.125912
Center X: -86.695308
Center Y: -79.918474
Data Points: 435
Timestamp: 20250712_152349

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Raw_Z, Pitch, Roll, Calibrated_X, Calibrated_Y
1, -286.000000, -116.000000, -97.000000, -6.704247, -3.813858, -186.024822, -60.113257
2, -279.000000, -115.000000, -97.000000, -6.688808, -3.805978, -179.107414, -58.904551
3, -285.000000, -115.000000, -100.000000, -6.679916, -3.802529, -184.737706, -59.167872
4, -283.000000, -121.000000, -96.000000, -6.671412, -3.797926, -183.235609, -65.580617
5, -281.000000, -116.000000, -98.000000, -6.664304, -3.802675, -181.032924, -60.103144
6, -282.000000, -116.000000, -97.000000, -6.672904, -3.806472, -182.122843, -60.049694
7, -281.000000, -115.000000, -98.000000, -6.674335, -3.820958, -181.010169, -59.027065
8, -282.000000, -117.000000, -96.000000, -6.665724, -3.827255, -182.255097, -61.145377
9, -282.000000, -116.000000, -95.000000, -6.645676, -3.848410, -182.415627, -59.989704
10, -284.000000, -115.000000, -96.000000, -6.645371, -3.861043, -184.287142, -58.988612
11, -283.000000, -114.000000, -95.000000, -6.642424, -3.870597, -183.416122, -57.802487
12, -279.000000, -122.000000, -93.000000, -6.648261, -3.889232, -179.661618, -66.647677
13, -281.000000, -119.000000, -101.000000, -6.642802, -3.888675, -180.734635, -63.898931
14, -283.000000, -116.000000, -100.000000, -6.613204, -3.889467, -182.905074, -60.462086
15, -278.000000, -119.000000, -95.000000, -6.547735, -3.882252, -178.658413, -63.368900
16, -279.000000, -116.000000, -97.000000, -6.536189, -3.865482, -179.449653, -60.115443
17, -279.000000, -114.000000, -96.000000, -6.517774, -3.851398, -179.604332, -57.753877
18, -284.000000, -121.000000, -97.000000, -6.518267, -3.819224, -184.457397, -65.659682
19, -281.000000, -115.000000, -95.000000, -6.526858, -3.811326, -181.684892, -58.729294
20, -286.000000, -121.000000, -96.000000, -6.537938, -3.815445, -186.514080, -65.600351
21, -278.000000, -117.000000, -97.000000, -6.558559, -3.812280, -178.406152, -61.112557
22, -281.000000, -117.000000, -96.000000, -6.575530, -3.815942, -181.462970, -61.078383
23, -280.000000, -115.000000, -97.000000, -6.590501, -3.819797, -180.321470, -58.911770
24, -281.000000, -119.000000, -98.000000, -6.610287, -3.815171, -181.155317, -63.484428
25, -282.000000, -116.000000, -100.000000, -6.623933, -3.800971, -181.887041, -60.241866
26, -284.000000, -115.000000, -96.000000, -6.643341, -3.788637, -184.291685, -58.816782
27, -278.000000, -117.000000, -96.000000, -6.659228, -3.766251, -178.296603, -60.964896
28, -282.000000, -114.000000, -95.000000, -6.668196, -3.756475, -182.365690, -57.535489
29, -287.000000, -115.000000, -97.000000, -6.678543, -3.754371, -187.076206, -58.846949
30, -282.000000, -115.000000, -99.000000, -6.686647, -3.761120, -181.858988, -58.969685
31, -284.000000, -119.000000, -99.000000, -6.682310, -3.767821, -183.855329, -63.495553
32, -285.000000, -120.000000, -96.000000, -6.679056, -3.773948, -185.204926, -64.420531
33, -277.000000, -118.000000, -98.000000, -6.696710, -3.693993, -176.986674, -62.066695
34, -280.000000, -119.000000, -97.000000, -6.508736, -3.800074, -180.504570, -63.330342
35, -282.000000, -114.000000, -98.000000, -6.499983, -3.752550, -182.398079, -57.687677
36, -283.000000, -116.000000, -96.000000, -6.399392, -3.840141, -183.841343, -59.966404
37, -280.000000, -120.000000, -97.000000, -6.523766, -3.713188, -180.470953, -64.254043
38, -279.000000, -113.000000, -96.000000, -6.570748, -3.652834, -179.486752, -56.182342
39, -280.000000, -117.000000, -99.000000, -6.649153, -3.577569, -179.958215, -60.742923
40, -285.000000, -120.000000, -99.000000, -6.705025, -3.513050, -184.796384, -64.016235
41, -287.000000, -106.000000, -98.000000, -6.826418, -3.507940, -186.621639, -48.258132
42, -294.000000, -88.000000, -89.000000, -6.832533, -3.744891, -194.628608, -28.020715
43, -298.000000, -66.000000, -85.000000, -6.769969, -4.149666, -199.206770, -3.935942
44, -294.000000, -52.000000, -80.000000, -6.461936, -4.819524, -196.433415, 10.928477
45, -301.000000, -30.000000, -77.000000, -5.549150, -6.208071, -205.448221, 33.464079
46, -303.000000, -45.000000, -82.000000, -4.678561, -6.785286, -208.606712, 15.447941
47, -300.000000, -59.000000, -79.000000, -4.729158, -6.288143, -205.770151, 1.130102
48, -299.000000, -46.000000, -70.000000, -5.093113, -5.763435, -204.909944, 17.503823
49, -285.000000, 17.000000, -67.000000, -5.370256, -5.495481, -190.783109, 88.902314
50, -272.000000, 48.000000, -60.000000, -5.203014, -5.772022, -178.742854, 124.129171
51, -207.000000, 100.000000, -67.000000, -3.476618, -7.659838, -115.860775, 179.584667
52, -177.000000, 108.000000, -81.000000, -1.730398, -8.361450, -87.778056, 186.093475
53, -167.000000, 116.000000, -67.000000, 0.924256, -8.764474, -81.363715, 197.968390
54, -172.000000, 113.000000, -71.000000, 1.673804, -8.673444, -87.305159, 194.494569
55, -191.000000, 105.000000, -69.000000, 1.865913, -8.555705, -106.450097, 186.313765
56, -260.000000, 62.000000, -70.000000, 0.139550, -8.667677, -173.474413, 137.157748
57, -288.000000, 19.000000, -67.000000, -1.047229, -8.452692, -200.032057, 89.120581
58, -302.000000, -38.000000, -76.000000, -2.776447, -7.963081, -211.268807, 23.424196
59, -287.000000, -100.000000, -91.000000, -4.748785, -6.923735, -191.785872, -47.385207
60, -274.000000, -142.000000, -98.000000, -6.422833, -5.243103, -174.622144, -92.465401
61, -258.000000, -165.000000, -108.000000, -7.551289, -3.273661, -154.874545, -114.617422
62, -245.000000, -172.000000, -107.000000, -8.191106, -1.517903, -140.560434, -117.870169
63, -247.000000, -173.000000, -109.000000, -8.354344, -0.362929, -141.846513, -115.885443
64, -253.000000, -162.000000, -108.000000, -8.354502, 0.091362, -147.927742, -102.221186
65, -261.000000, -155.000000, -99.000000, -8.376349, -0.598868, -157.098697, -96.188383
66, -291.000000, -107.000000, -84.000000, -8.334948, -1.397075, -189.054402, -43.957792
67, -304.000000, -59.000000, -74.000000, -8.203679, -2.472868, -203.634638, 7.886196
68, -294.000000, 1.000000, -62.000000, -7.820802, -4.001146, -196.133385, 73.073131
69, -172.000000, 114.000000, -83.000000, -4.430736, -8.207465, -78.378590, 191.521066
70, -85.000000, 118.000000, -99.000000, -0.783636, -9.486708, 3.057241, 192.373516
71, -1.000000, 95.000000, -123.000000, 3.576422, -9.078723, 78.024538, 163.741699
72, 61.000000, 56.000000, -145.000000, 7.304523, -6.747899, 128.764535, 122.479518
73, 121.000000, -37.000000, -163.000000, 9.112617, 0.578094, 180.352955, 40.307835
74, 137.000000, -71.000000, -166.000000, 7.509293, 3.240864, 200.826310, 11.721793
75, 134.000000, -97.000000, -168.000000, 5.530717, 4.651368, 203.879757, -12.488624
76, 129.000000, -132.000000, -168.000000, 2.292903, 5.539419, 208.870677, -49.202473
77, 129.000000, -131.000000, -176.000000, 1.387182, 5.573710, 211.396801, -47.296194
78, 131.000000, -125.000000, -168.000000, 0.968183, 5.602077, 214.837879, -41.442730
79, 134.000000, -111.000000, -169.000000, 0.869309, 5.696791, 218.115864, -25.327596
80, 138.000000, -79.000000, -171.000000, 1.783754, 5.745902, 219.305659, 11.168800
81, 137.000000, -69.000000, -160.000000, 2.534878, 5.562510, 216.484845, 20.702417
82, 135.000000, -52.000000, -160.000000, 3.593198, 5.059186, 211.402396, 38.294092
83, 126.000000, -29.000000, -150.000000, 4.749440, 4.316805, 199.842893, 60.912469
84, 56.000000, 67.000000, -127.000000, 7.274912, 1.860675, 126.162462, 160.179458
85, -8.000000, 99.000000, -122.000000, 8.303061, 0.245790, 61.161257, 191.960227
86, -84.000000, 113.000000, -99.000000, 8.703584, -1.686566, -11.318327, 204.269765
87, -153.000000, 116.000000, -79.000000, 8.148930, -4.100687, -75.957832, 205.639677
88, -208.000000, 99.000000, -69.000000, 6.528262, -6.303998, -127.800836, 185.158258
89, -278.000000, 33.000000, -72.000000, 1.762770, -9.195327, -193.387944, 105.186505
90, -299.000000, -11.000000, -74.000000, -1.220025, -9.758701, -210.661313, 52.378663
91, -300.000000, -58.000000, -81.000000, -3.895393, -9.250180, -207.108875, -2.849741
92, -285.000000, -108.000000, -90.000000, -6.026507, -7.991840, -187.280650, -59.193464
93, -262.000000, -151.000000, -105.000000, -7.798193, -6.238741, -158.634894, -106.165399
94, -248.000000, -175.000000, -108.000000, -8.942739, -4.126240, -141.501742, -128.371722
95, -248.000000, -175.000000, -107.000000, -9.339189, -1.008175, -140.653612, -119.974509
96, -245.000000, -169.000000, -107.000000, -9.195984, -0.204881, -138.055939, -110.942312
97, -262.000000, -159.000000, -99.000000, -9.021233, 0.020271, -156.540584, -99.046195
98, -287.000000, -106.000000, -83.000000, -8.756113, -0.741560, -184.324793, -41.250204
99, -273.000000, 42.000000, -58.000000, -8.154142, -3.677687, -175.318153, 120.166506
100, -206.000000, 97.000000, -67.000000, -6.725701, -6.179678, -110.040257, 177.508663
101, -20.000000, 101.000000, -114.000000, 1.069674, -9.318254, 64.570613, 171.423830
102, 110.000000, 10.000000, -154.000000, 8.791859, -4.530936, 171.864625, 76.110547
103, 136.000000, -88.000000, -170.000000, 8.292983, 2.800121, 196.753266, -8.711819
104, 132.000000, -127.000000, -170.000000, 6.234117, 4.704127, 199.454201, -45.662759
105, 124.000000, -150.000000, -169.000000, 4.111156, 5.535073, 198.260347, -68.909266
106, 114.000000, -162.000000, -169.000000, 2.260654, 5.772435, 193.940274, -81.922198
107, 118.000000, -150.000000, -173.000000, -0.107352, 5.819824, 205.019241, -68.372020
108, 133.000000, -133.000000, -168.000000, 0.046868, 5.992714, 219.557839, -49.248720
109, 134.000000, -103.000000, -166.000000, 0.725284, 6.158130, 218.583301, -15.128567
110, 135.000000, -76.000000, -168.000000, 1.622294, 6.257648, 216.885017, 15.937403
111, 127.000000, -25.000000, -152.000000, 3.962578, 5.751790, 202.887754, 70.013055
112, 110.000000, 6.000000, -147.000000, 5.308281, 4.754239, 182.623923, 101.259239
113, 74.000000, 58.000000, -128.000000, 6.591314, 3.259542, 145.513502, 153.799681
114, -104.000000, 117.000000, -87.000000, 8.505722, -1.514937, -29.028818, 209.500811
115, -187.000000, 104.000000, -76.000000, 8.289518, -4.300909, -109.308263, 192.609873
116, -255.000000, 65.000000, -64.000000, 6.377405, -6.936387, -173.835631, 147.770055
117, -301.000000, 3.000000, -62.000000, 3.174785, -8.495073, -217.276418, 75.735485
118, -274.000000, -136.000000, -95.000000, -4.141932, -8.241456, -179.727453, -90.110608
119, -225.000000, -191.000000, -107.000000, -7.522852, -6.531147, -122.359443, -151.092528
120, -171.000000, -234.000000, -132.000000, -9.580473, -3.520321, -59.950608, -194.013718
121, -52.000000, -259.000000, -166.000000, -8.951942, 2.548352, 61.159299, -202.790381
122, 34.000000, -237.000000, -184.000000, -5.734842, 6.269874, 138.911306, -163.232398
123, 65.000000, -220.000000, -187.000000, -3.830774, 7.025269, 164.043516, -140.826825
124, 109.000000, -175.000000, -190.000000, 0.816188, 6.848787, 192.977758, -89.994028
125, 120.000000, -164.000000, -188.000000, 1.899182, 6.424768, 200.398899, -79.397662
126, 119.000000, -158.000000, -190.000000, 2.722155, 5.983812, 196.537414, -74.067185
127, 122.000000, -154.000000, -190.000000, 3.315289, 5.593396, 197.503350, -71.056314
128, 121.000000, -160.000000, -197.000000, 4.035893, 5.104369, 193.530114, -78.974861
129, 101.000000, -181.000000, -192.000000, 3.863328, 5.197458, 174.529467, -102.801149
130, 90.000000, -200.000000, -188.000000, 3.503864, 5.421268, 165.037288, -123.710676
131, 76.000000, -212.000000, -193.000000, 3.131932, 5.748732, 152.037178, -135.372440
132, 63.000000, -223.000000, -186.000000, 2.719760, 6.037782, 140.798467, -147.410224
133, -3.000000, -252.000000, -175.000000, 1.799348, 6.577907, 78.201894, -179.395695
134, -158.000000, -235.000000, -130.000000, -0.774671, 6.541660, -69.532632, -166.000546
135, -274.000000, -145.000000, -96.000000, -5.101208, 4.204001, -177.683562, -72.996345
136, -299.000000, -87.000000, -80.000000, -6.902688, 1.985427, -200.522779, -13.477341
137, -305.000000, -76.000000, -78.000000, -8.169446, -0.323203, -204.125712, -6.415101
138, -296.000000, -87.000000, -87.000000, -8.882080, -3.627121, -192.322201, -27.217557
139, -294.000000, -93.000000, -85.000000, -9.090981, -4.332777, -190.181443, -35.582857
140, -295.000000, -105.000000, -85.000000, -9.534206, -4.286231, -190.150732, -49.137325
141, -295.000000, -105.000000, -78.000000, -10.026354, -3.797786, -190.219498, -47.600861
142, -300.000000, -41.000000, -72.000000, -10.358896, -3.434297, -195.468338, 25.423651
143, -290.000000, 13.000000, -59.000000, -10.024340, -4.169556, -188.607597, 85.628008
144, -255.000000, 74.000000, -60.000000, -9.062269, -6.143411, -155.671250, 150.778678
145, -193.000000, 104.000000, -77.000000, -6.607850, -8.809162, -96.161955, 178.613964
146, -115.000000, 117.000000, -82.000000, -2.774001, -10.976359, -24.201419, 190.488699
147, -39.000000, 117.000000, -103.000000, 2.081350, -11.626909, 43.980240, 185.911809
148, 33.000000, 84.000000, -124.000000, 6.796382, -10.215210, 104.789099, 147.630278
149, 82.000000, 47.000000, -148.000000, 10.123115, -6.812207, 141.405704, 111.080140
150, 137.000000, -64.000000, -165.000000, 9.561776, 3.800976, 194.383676, 21.861289
151, 136.000000, -83.000000, -166.000000, 7.700689, 5.555051, 199.225119, 6.822162
152, 136.000000, -113.000000, -170.000000, 4.403803, 6.735208, 209.240304, -22.670690
153, 134.000000, -99.000000, -166.000000, 3.079574, 6.312140, 211.583807, -9.460752
154, 138.000000, -62.000000, -158.000000, 3.629920, 5.219628, 214.415207, 27.447543
155, 126.000000, -25.000000, -151.000000, 4.602209, 4.276242, 200.173216, 65.333964
156, 93.000000, 38.000000, -132.000000, 5.757883, 3.191654, 165.983203, 131.454489
157, 27.000000, 86.000000, -117.000000, 6.909595, 1.720806, 99.423751, 180.740121
158, -131.000000, 117.000000, -81.000000, 8.299399, -2.734975, -54.624781, 208.209914
159, -200.000000, 105.000000, -65.000000, 7.149497, -5.385490, -119.839465, 193.432383
160, -258.000000, 64.000000, -65.000000, 4.930726, -7.454479, -175.936753, 145.147392
161, -298.000000, -36.000000, -77.000000, -0.959235, -9.455346, -209.973871, 24.773378
162, -295.000000, -95.000000, -87.000000, -4.229949, -8.935877, -201.084054, -44.724014
163, -175.000000, -231.000000, -136.000000, -9.395127, -2.189745, -63.756332, -186.978447
164, -116.000000, -250.000000, -157.000000, -9.442121, 0.779311, -1.977066, -198.870375
165, -18.000000, -250.000000, -174.000000, -7.172713, 5.361685, 90.561937, -181.928546
166, 21.000000, -240.000000, -182.000000, -5.409379, 6.725993, 124.759158, -164.808553
167, 50.000000, -231.000000, -185.000000, -3.578897, 7.397585, 148.146038, -151.688531
