=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.132379
Center X: -77.106612
Center Y: -79.132955
Data Points: 343
Timestamp: 20250712_152052

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Raw_Z, Pitch, Roll, Calibrated_X, Calibrated_Y
1, -259.000000, -126.000000, -124.000000, 0.859865, -1.816947, -183.725079, -67.787060
2, -261.000000, -124.000000, -130.000000, 0.890140, -1.805663, -185.881473, -65.705576
3, -259.000000, -122.000000, -123.000000, 0.911518, -1.794183, -183.817336, -63.163757
4, -259.000000, -123.000000, -131.000000, 0.927344, -1.789619, -183.979634, -64.565536
5, -263.000000, -125.000000, -129.000000, 0.939388, -1.792516, -187.972953, -66.761122
6, -262.000000, -119.000000, -125.000000, 0.947827, -1.798394, -186.925282, -59.841287
7, -256.000000, -127.000000, -126.000000, 0.949800, -1.804083, -180.946837, -68.947832
8, -265.000000, -126.000000, -125.000000, 0.971653, -1.801281, -189.974999, -67.764971
9, -258.000000, -123.000000, -125.000000, 0.986711, -1.800102, -183.007693, -64.368587
10, -260.000000, -120.000000, -124.000000, 0.989655, -1.800856, -184.996316, -60.937581
11, -259.000000, -122.000000, -125.000000, 0.990958, -1.801277, -184.016478, -63.238174
12, -262.000000, -125.000000, -128.000000, 0.992646, -1.802600, -187.071550, -66.741398
13, -256.000000, -126.000000, -128.000000, 0.980908, -1.812046, -181.047134, -67.901124
14, -260.000000, -127.000000, -130.000000, 0.962243, -1.819242, -185.039880, -69.122430
15, -261.000000, -121.000000, -124.000000, 0.958823, -1.818355, -185.931838, -62.113849
16, -261.000000, -127.000000, -125.000000, 0.952004, -1.816843, -185.934215, -68.938270
17, -262.000000, -120.000000, -124.000000, 0.940664, -1.819723, -186.893780, -60.987577
18, -259.000000, -122.000000, -124.000000, 0.933851, -1.823274, -183.879945, -63.262209
19, -258.000000, -125.000000, -128.000000, 0.937141, -1.826578, -182.952377, -66.809588
20, -258.000000, -122.000000, -123.000000, 0.934556, -1.829375, -182.865241, -63.240502
21, -260.000000, -116.000000, -124.000000, 0.937400, -1.831452, -184.887229, -56.488947
22, -264.000000, -121.000000, -123.000000, 0.944716, -1.827267, -188.885484, -62.098679
23, -261.000000, -114.000000, -127.000000, 0.952793, -1.818032, -185.969134, -54.299203
24, -261.000000, -115.000000, -119.000000, 0.953083, -1.811976, -185.836685, -55.130325
25, -268.000000, -117.000000, -123.000000, 0.962413, -1.811940, -192.921548, -57.531327
26, -265.000000, -111.000000, -125.000000, 0.990955, -1.797146, -190.015574, -50.774927
27, -263.000000, -108.000000, -127.000000, 0.953799, -1.787364, -187.971010, -47.434771
28, -268.000000, -101.000000, -117.000000, 0.912711, -1.777312, -192.723094, -39.140969
29, -273.000000, -98.000000, -117.000000, 0.892785, -1.759103, -197.683271, -35.706564
