=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.138021
Center X: -90.709780
Center Y: -72.589098
Data Points: 374
Timestamp: 20250712_151524

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Raw_Z, Pitch, Roll, Calibrated_X, Calibrated_Y
1, -55.000000, 102.000000, -139.000000, 0.333283, -1.056595, 34.902168, 185.737383
2, -57.000000, 102.000000, -136.000000, 0.309018, -1.054960, 32.977112, 185.804535
3, -52.000000, 106.000000, -135.000000, 0.292067, -1.056134, 38.022292, 190.372724
4, -54.000000, 105.000000, -138.000000, 0.291652, -1.056626, 36.008023, 189.170809
5, -54.000000, 102.000000, -141.000000, 0.294000, -1.055306, 35.986985, 185.698154
6, -55.000000, 102.000000, -137.000000, 0.317878, -1.053415, 34.950552, 185.787789
7, -53.000000, 103.000000, -141.000000, 0.345646, -1.052568, 36.860144, 186.844643
8, -53.000000, 105.000000, -137.000000, 0.371137, -1.053658, 36.823472, 189.201422
9, -56.000000, 104.000000, -139.000000, 0.388291, -1.057039, 33.769076, 188.013068
10, -53.000000, 105.000000, -134.000000, 0.405690, -1.061546, 36.762312, 189.243647
11, -54.000000, 104.000000, -136.000000, 0.409343, -1.069828, 35.739530, 188.041256
12, -54.000000, 105.000000, -137.000000, 0.417812, -1.079737, 35.712193, 189.130736
13, -58.000000, 105.000000, -136.000000, 0.424768, -1.083883, 31.703133, 189.141634
14, -53.000000, 109.000000, -136.000000, 0.428706, -1.083178, 36.693676, 193.694115
15, -51.000000, 107.000000, -137.000000, 0.433397, -1.083410, 38.674952, 191.396097
16, -50.000000, 103.000000, -136.000000, 0.449430, -1.080913, 39.644540, 186.873307
17, -55.000000, 107.000000, -136.000000, 0.456051, -1.077569, 34.629029, 191.434700
18, -57.000000, 106.000000, -137.000000, 0.456431, -1.072287, 32.620227, 190.290359
19, -50.000000, 102.000000, -135.000000, 0.456127, -1.065651, 39.636651, 185.798458
