=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.155517
Center X: -79.681933
Center Y: -77.846503
Data Points: 309
Timestamp: 20250712_134222

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Raw_Z, Pitch, Roll, Calibrated_X, Calibrated_Y
1, -269.000000, -60.000000, -124.000000, 0.753895, -2.460788, -190.926319, 2.603549
2, -269.000000, -48.000000, -116.000000, 0.861802, -2.377216, -191.032361, 17.064208
3, -270.000000, -41.000000, -117.000000, 0.956295, -2.269610, -192.233158, 25.360435
4, -272.000000, -40.000000, -114.000000, 0.975902, -2.130459, -194.220247, 26.960465
5, -272.000000, -36.000000, -118.000000, 0.951526, -1.990156, -194.240125, 31.719724
6, -274.000000, -41.000000, -115.000000, 0.888019, -1.858405, -196.067455, 26.345480
7, -269.000000, -40.000000, -116.000000, 0.893001, -1.733586, -191.093275, 27.739022
8, -268.000000, -44.000000, -117.000000, 0.873789, -1.616117, -190.071141, 23.344715
9, -270.000000, -47.000000, -119.000000, 0.873236, -1.526363, -192.100299, 20.020801
10, -277.000000, -44.000000, -117.000000, 0.863586, -1.459511, -199.050009, 23.700013
11, -271.000000, -42.000000, -119.000000, 0.841571, -1.408289, -193.036665, 26.063377
12, -266.000000, -41.000000, -117.000000, 0.820378, -1.369254, -187.965984, 27.358731
13, -274.000000, -42.000000, -117.000000, 0.809959, -1.345477, -195.944599, 26.259071
14, -270.000000, -38.000000, -120.000000, 0.806290, -1.338582, -191.979967, 30.812498
15, -270.000000, -35.000000, -116.000000, 0.791075, -1.336199, -191.893877, 34.389474
16, -273.000000, -31.000000, -118.000000, 0.791105, -1.348241, -194.921264, 38.929965
17, -268.000000, -26.000000, -119.000000, 0.784056, -1.372570, -189.921362, 44.619721
18, -269.000000, -17.000000, -113.000000, 0.777061, -1.405804, -190.825818, 55.108924
19, -271.000000, -7.000000, -117.000000, 0.768369, -1.439445, -192.862688, 66.470064
20, -261.000000, 3.000000, -115.000000, 0.782926, -1.474552, -182.865084, 77.998762
21, -262.000000, 13.000000, -115.000000, 0.789123, -1.503019, -183.877039, 89.487243
22, -253.000000, 20.000000, -115.000000, 0.808463, -1.517584, -174.915516, 97.539055
23, -243.000000, 30.000000, -117.000000, 0.814887, -1.517369, -164.957462, 109.025991
24, -236.000000, 37.000000, -114.000000, 0.807100, -1.509037, -157.900466, 117.218278
25, -228.000000, 51.000000, -116.000000, 0.791698, -1.489834, -149.899107, 133.367947
26, -221.000000, 61.000000, -112.000000, 0.784680, -1.455271, -142.831162, 145.112667
27, -203.000000, 67.000000, -119.000000, 0.770457, -1.416772, -124.899860, 151.920948
28, -192.000000, 76.000000, -120.000000, 0.747460, -1.366173, -113.867161, 162.404146
29, -175.000000, 86.000000, -121.000000, 0.718846, -1.301657, -96.822348, 174.077077
30, -165.000000, 90.000000, -126.000000, 0.665851, -1.241764, -86.771175, 178.711626
31, -150.000000, 94.000000, -125.000000, 0.586940, -1.190711, -71.590678, 183.477202
32, -136.000000, 101.000000, -134.000000, 0.497902, -1.149465, -57.477381, 191.451583
33, -118.000000, 102.000000, -134.000000, 0.418705, -1.117759, -39.294150, 192.685831
34, -107.000000, 103.000000, -130.000000, 0.364246, -1.106296, -28.142347, 193.957519
35, -97.000000, 103.000000, -133.000000, 0.354515, -1.347464, -18.139136, 193.234273
36, -97.000000, 103.000000, -131.000000, 0.436541, -1.544518, -18.313341, 192.764606
37, -90.000000, 109.000000, -136.000000, 0.489080, -1.720369, -11.475677, 199.050009
38, -66.000000, 101.000000, -138.000000, 0.539944, -1.873497, 12.384399, 189.301818
39, -24.000000, 97.000000, -147.000000, 0.579901, -1.994851, 54.195374, 183.960995
40, 21.000000, 71.000000, -159.000000, 0.651852, -2.004210, 98.871676, 153.403308
41, 70.000000, 32.000000, -171.000000, 0.733709, -2.194976, 147.486490, 107.189004
42, 94.000000, -5.000000, -184.000000, 0.801315, -2.269721, 171.099477, 63.593758
43, 113.000000, -40.000000, -191.000000, 0.782439, -2.320402, 190.063156, 22.656598
44, 114.000000, -56.000000, -192.000000, 0.747916, -2.299996, 191.166001, 4.217835
45, 116.000000, -64.000000, -195.000000, 0.675804, -2.214767, 193.373892, -4.819632
46, 113.000000, -65.000000, -191.000000, 0.453690, -1.904859, 191.165995, -4.590917
47, 115.000000, -57.000000, -191.000000, 0.248871, -1.630005, 193.851220, 5.714379
48, 107.000000, -38.000000, -190.000000, 0.106585, -1.301641, 186.328299, 28.955719
49, 105.000000, -17.000000, -183.000000, -0.011445, -0.977147, 184.718486, 54.599834
50, 88.000000, 14.000000, -180.000000, -0.089748, -0.682534, 167.963777, 91.546843
51, 67.000000, 43.000000, -171.000000, -0.103065, -0.418012, 146.989424, 126.091866
52, 33.000000, 68.000000, -164.000000, -0.116650, -0.206861, 113.015757, 155.737245
53, -13.000000, 90.000000, -153.000000, -0.104889, -0.095600, 66.962046, 181.547861
54, -53.000000, 104.000000, -141.000000, -0.065855, -0.094341, 26.844032, 197.751728
55, -87.000000, 103.000000, -136.000000, -0.034699, -0.191284, -7.235687, 196.339243
56, -115.000000, 102.000000, -130.000000, -0.019567, -0.368025, -35.273664, 194.741644
57, -141.000000, 97.000000, -124.000000, 0.033423, -0.586513, -61.390377, 188.460044
58, -170.000000, 89.000000, -123.000000, 0.085223, -0.809039, -90.500831, 178.674552
59, -198.000000, 71.000000, -117.000000, 0.101652, -1.025604, -118.525332, 157.462447
60, -216.000000, 65.000000, -116.000000, 0.090653, -1.227220, -136.501331, 150.075558
61, -229.000000, 50.000000, -113.000000, 0.052477, -1.436544, -149.421467, 132.336825
