=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:06:22
Data Points: 426

CALIBRATION PARAMETERS:
Scale X: 0.929887
Scale Y: 1.081548
Center X: -76.715963
Center Y: -51.836568

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
39: Raw = [X: -81.00, Y: 91.00, Z: -131.00, Pitch: -0.75бу, Roll: -0.35бу] -> Calibrated = [X: 3.00, Y: 149.38]
40: Raw = [X: -78.00, Y: 91.00, Z: -136.00, Pitch: -0.77бу, Roll: -0.38бу] -> Calibrated = [X: 5.88, Y: 149.27]
41: Raw = [X: -75.00, Y: 86.00, Z: -134.00, Pitch: -0.81бу, Roll: -0.44бу] -> Calibrated = [X: 8.74, Y: 143.74]
42: Raw = [X: -77.00, Y: 90.00, Z: -128.00, Pitch: -0.88бу, Roll: -0.50бу] -> Calibrated = [X: 6.95, Y: 147.95]
43: Raw = [X: -69.00, Y: 92.00, Z: -134.00, Pitch: -0.95бу, Roll: -0.60бу] -> Calibrated = [X: 14.63, Y: 149.79]
44: Raw = [X: -71.00, Y: 91.00, Z: -128.00, Pitch: -1.02бу, Roll: -0.76бу] -> Calibrated = [X: 12.82, Y: 148.40]
45: Raw = [X: -66.00, Y: 92.00, Z: -132.00, Pitch: -1.10бу, Roll: -0.89бу] -> Calibrated = [X: 17.72, Y: 149.09]
46: Raw = [X: -60.00, Y: 91.00, Z: -132.00, Pitch: -1.18бу, Roll: -1.01бу] -> Calibrated = [X: 23.47, Y: 147.71]
47: Raw = [X: -60.00, Y: 92.00, Z: -132.00, Pitch: -1.24бу, Roll: -1.13бу] -> Calibrated = [X: 23.60, Y: 148.48]
48: Raw = [X: -56.00, Y: 92.00, Z: -136.00, Pitch: -1.31бу, Roll: -1.20бу] -> Calibrated = [X: 27.55, Y: 148.22]
