=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.204644
Center X: -87.533327
Center Y: -91.216383
Data Points: 575
Timestamp: 20250712_115535

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Raw_Z, Pitch, Roll, Calibrated_X, Calibrated_Y
1, -276.000000, -16.000000, -126.000000, 1.403042, -1.490154, -191.469068, 68.214281
2, -276.000000, -18.000000, -127.000000, 1.396273, -1.495409, -191.479351, 65.760228
3, -278.000000, -16.000000, -124.000000, 1.386806, -1.493649, -193.386288, 68.267375
4, -276.000000, -20.000000, -126.000000, 1.378292, -1.494199, -191.417550, 63.383457
5, -277.000000, -15.000000, -121.000000, 1.373116, -1.495994, -192.286666, 69.557309
6, -278.000000, -18.000000, -125.000000, 1.369982, -1.502846, -193.375760, 65.802143
7, -273.000000, -17.000000, -129.000000, 1.366691, -1.504495, -188.465790, 66.871528
8, -273.000000, -20.000000, -124.000000, 1.370506, -1.506257, -188.354355, 63.413189
9, -276.000000, -18.000000, -122.000000, 1.372790, -1.510552, -191.310260, 65.877212
10, -277.000000, -17.000000, -124.000000, 1.380838, -1.513082, -192.374366, 67.013741
11, -275.000000, -20.000000, -125.000000, 1.394519, -1.510155, -190.427293, 63.377090
12, -277.000000, -16.000000, -126.000000, 1.416416, -1.508891, -192.496580, 68.170352
13, -274.000000, -16.000000, -124.000000, 1.429601, -1.513554, -189.475020, 68.222006
14, -274.000000, -19.000000, -129.000000, 1.444380, -1.514589, -189.631255, 64.449920
15, -277.000000, -18.000000, -126.000000, 1.447791, -1.515968, -192.561765, 65.749139
16, -277.000000, -18.000000, -124.000000, 1.443251, -1.516639, -192.501964, 65.810508
17, -277.000000, -19.000000, -127.000000, 1.434745, -1.516488, -192.559709, 64.509718
18, -276.000000, -21.000000, -123.000000, 1.430044, -1.516625, -191.450346, 62.226894
19, -276.000000, -22.000000, -123.000000, 1.422620, -1.516095, -191.435304, 61.022806
20, -278.000000, -15.000000, -125.000000, 1.470724, -1.548918, -193.583361, 69.316740
21, -279.000000, -30.000000, -130.000000, 1.479533, -1.568937, -194.730239, 51.041864
22, -276.000000, -22.000000, -128.000000, 1.468298, -1.557802, -191.655901, 60.765139
23, -272.000000, 3.000000, -122.000000, 1.455360, -1.536809, -187.477498, 91.111956
24, -256.000000, 30.000000, -121.000000, 1.425015, -1.462577, -171.396605, 123.820410
25, -231.000000, 63.000000, -120.000000, 1.287977, -1.299715, -146.105616, 163.953258
26, -168.000000, 96.000000, -124.000000, 1.088604, -1.132721, -82.792175, 203.963262
27, -90.000000, 108.000000, -137.000000, 0.873804, -1.046554, -4.545480, 218.312471
28, -8.000000, 93.000000, -153.000000, 0.531327, -1.030465, 78.114860, 199.917295
29, 46.000000, 61.000000, -164.000000, 0.109997, -1.185751, 133.218393, 160.593464
30, 77.000000, 33.000000, -181.000000, -0.244611, -1.470976, 165.305360, 125.369540
31, 100.000000, 10.000000, -189.000000, -0.508158, -1.742760, 189.205618, 96.365834
32, 99.000000, 2.000000, -188.000000, -0.821077, -1.912873, 189.217203, 86.122538
33, 100.000000, 1.000000, -185.000000, -1.103505, -1.971574, 191.077622, 84.834377
34, 91.000000, 11.000000, -188.000000, -1.337886, -1.898012, 182.898017, 97.046114
35, 81.000000, 27.000000, -179.000000, -1.530753, -1.710197, 173.286137, 117.372051
36, 66.000000, 41.000000, -172.000000, -1.660942, -1.423904, 158.490990, 135.502243
37, 44.000000, 59.000000, -169.000000, -1.694934, -1.072088, 136.512735, 158.499811
38, 18.000000, 78.000000, -162.000000, -1.631575, -0.683064, 110.138575, 182.853776
39, -19.000000, 98.000000, -152.000000, -1.464455, -0.288499, 72.424163, 208.345412
40, -63.000000, 106.000000, -143.000000, -1.203164, 0.077758, 27.549878, 219.144469
41, -110.000000, 105.000000, -132.000000, -0.854709, 0.357764, -20.485399, 218.706708
42, -158.000000, 107.000000, -125.000000, -0.436293, 0.499537, -69.510258, 221.433863
43, -199.000000, 86.000000, -120.000000, 0.005937, 0.487806, -111.479107, 196.042556
44, -233.000000, 63.000000, -117.000000, 0.410614, 0.331626, -146.299171, 167.911817
45, -256.000000, 30.000000, -121.000000, 0.757155, 0.038155, -170.043271, 127.450052
46, -271.000000, -4.000000, -126.000000, 1.023036, -0.357020, -185.673129, 85.488575
47, -278.000000, -38.000000, -127.000000, 1.113281, -0.844018, -192.881705, 43.287537
48, -282.000000, -54.000000, -131.000000, 1.095755, -1.325931, -196.920266, 22.682341
49, -280.000000, -63.000000, -134.000000, 1.031259, -1.772347, -194.833038, 10.556128
50, -283.000000, -61.000000, -134.000000, 0.941695, -2.153363, -197.630732, 11.930958
51, -279.000000, -63.000000, -135.000000, 0.876762, -2.471230, -193.499749, 8.604828
52, -283.000000, -58.000000, -130.000000, 0.920254, -2.667741, -197.518072, 14.389541
53, -286.000000, -42.000000, -129.000000, 1.017828, -2.782553, -200.713041, 33.435314
54, -272.000000, -7.000000, -125.000000, 1.184475, -2.809133, -186.992492, 75.747735
55, -262.000000, 26.000000, -121.000000, 1.381076, -2.730222, -177.306904, 115.922820
56, -250.000000, 47.000000, -118.000000, 1.541620, -2.545107, -165.550751, 141.828678
57, -236.000000, 61.000000, -120.000000, 1.620864, -2.289444, -151.766522, 159.189852
58, -231.000000, 59.000000, -121.000000, 1.573568, -2.016070, -146.702280, 157.389291
59, -231.000000, 59.000000, -118.000000, 1.393911, -1.795331, -146.268777, 158.015507
60, -261.000000, 29.000000, -118.000000, 1.094788, -1.705862, -175.673595, 122.083654
61, -277.000000, -62.000000, -136.000000, 0.934120, -1.651447, -191.647034, 11.995359
62, -232.000000, -165.000000, -156.000000, 0.780126, -1.563531, -146.569163, -112.499232
63, -137.000000, -225.000000, -185.000000, 0.594627, -1.416273, -51.379228, -185.211392
64, -34.000000, -238.000000, -211.000000, 0.370536, -1.255945, 52.169495, -200.985461
65, 50.000000, -205.000000, -223.000000, 0.130494, -1.048069, 137.025304, -160.610582
66, 106.000000, -143.000000, -224.000000, -0.427759, -0.765899, 195.202697, -84.626507
67, 125.000000, -75.000000, -214.000000, -1.003992, -0.349219, 216.263859, -0.685197
68, 97.000000, -4.000000, -200.000000, -1.385701, 0.063643, 189.341497, 86.662210
69, 48.000000, 47.000000, -181.000000, -1.555277, 0.441084, 140.428232, 149.498833
70, -18.000000, 81.000000, -161.000000, -1.560469, 0.666527, 73.924347, 191.048171
71, -84.000000, 96.000000, -146.000000, -1.458010, 0.735758, 7.275394, 209.143501
72, -145.000000, 90.000000, -133.000000, -1.334944, 0.675646, -54.328809, 201.563598
73, -198.000000, 75.000000, -126.000000, -1.233100, 0.519531, -107.709301, 182.983520
74, -239.000000, 44.000000, -122.000000, -1.162119, 0.287752, -148.943181, 144.987338
75, -265.000000, 15.000000, -120.000000, -1.120424, -0.002994, -175.069546, 109.278170
76, -282.000000, -19.000000, -121.000000, -1.100699, -0.325681, -192.090272, 67.463032
77, -283.000000, -42.000000, -126.000000, -1.057184, -0.704839, -193.093764, 38.680909
78, -283.000000, -67.000000, -127.000000, -0.976058, -1.107350, -193.262216, 7.451843
79, -278.000000, -75.000000, -126.000000, -0.838950, -1.551028, -188.591991, -3.339535
80, -277.000000, -80.000000, -128.000000, -0.640928, -2.011376, -188.017526, -10.638369
81, -281.000000, -79.000000, -131.000000, -0.377291, -2.464654, -192.597956, -10.744444
82, -282.000000, -71.000000, -125.000000, -0.030400, -2.871149, -194.400311, -1.757618
83, -282.000000, -50.000000, -123.000000, 0.411810, -3.213263, -195.343437, 22.910544
84, -283.000000, -33.000000, -123.000000, 0.944940, -3.435385, -197.456649, 42.993814
85, -268.000000, -11.000000, -125.000000, 1.531191, -3.506177, -183.711121, 69.312040
86, -258.000000, 18.000000, -122.000000, 2.117532, -3.399105, -174.798332, 104.834906
87, -237.000000, 41.000000, -119.000000, 2.566281, -3.079644, -154.557219, 133.528483
88, -209.000000, 69.000000, -120.000000, 2.837351, -2.527612, -127.150562, 168.438316
89, -143.000000, 93.000000, -136.000000, 2.887347, -1.767250, -62.135780, 198.416568
90, -40.000000, 90.000000, -159.000000, 2.214720, -0.897969, 41.418725, 196.650723
91, 45.000000, 50.000000, -185.000000, 0.956918, -0.447328, 129.437441, 149.700020
92, 105.000000, -11.000000, -204.000000, -0.396933, -0.790456, 193.944064, 74.588486
93, 119.000000, -83.000000, -217.000000, -1.363288, -1.872508, 211.662424, -17.143513
94, 103.000000, -149.000000, -226.000000, -1.660555, -3.229544, 197.039121, -103.119119
95, 53.000000, -201.000000, -224.000000, -1.078326, -4.380008, 144.739448, -170.722583
96, -12.000000, -234.000000, -214.000000, -0.105199, -5.002864, 75.926265, -212.079850
97, -88.000000, -237.000000, -200.000000, 0.897650, -5.084352, -3.589135, -214.362847
98, -165.000000, -217.000000, -177.000000, 1.753655, -4.719240, -82.805997, -186.339031
99, -233.000000, -168.000000, -152.000000, 2.318761, -3.980601, -151.425656, -122.587905
100, -272.000000, -106.000000, -137.000000, 2.468945, -3.004228, -190.115851, -44.202134
101, -285.000000, -38.000000, -129.000000, 2.164041, -2.016748, -202.134540, 40.459631
102, -258.000000, 30.000000, -118.000000, 1.402534, -1.194697, -173.277593, 124.543586
103, -206.000000, 79.000000, -124.000000, 0.332011, -0.754199, -119.181752, 184.427791
104, -146.000000, 103.000000, -127.000000, -0.827861, -0.844544, -56.616487, 212.989058
105, -76.000000, 109.000000, -140.000000, -1.746923, -1.411692, 15.836526, 218.261044
106, -20.000000, 96.000000, -151.000000, -2.281348, -2.176915, 73.559962, 199.838275
107, 18.000000, 79.000000, -163.000000, -2.412854, -2.920750, 112.379635, 176.309752
108, 49.000000, 61.000000, -171.000000, -2.302824, -3.473016, 143.364713, 152.239683
109, 61.000000, 51.000000, -174.000000, -2.111091, -3.722967, 154.901589, 139.098258
110, 59.000000, 49.000000, -176.000000, -1.998495, -3.687179, 152.635131, 136.654833
111, 52.000000, 50.000000, -171.000000, -1.965139, -3.413010, 145.366577, 139.213404
