=== 校准参数 ===
X轴缩放因子: 1.000000
Y轴缩放因子: 1.222892
中心点 X: -7.000000
中心点 Y: -45.246988
数据点数: 600
校准时间: 20250711_082905

=== 原始数据 ===
Mag_X, Mag_Y
-2.000000, 126.000000
-1.000000, 121.000000
-4.000000, 123.000000
-2.000000, 123.000000
2.000000, 123.000000
-3.000000, 122.000000
-2.000000, 121.000000
1.000000, 124.000000
-4.000000, 119.000000
3.000000, 124.000000
-2.000000, 124.000000
3.000000, 123.000000
-5.000000, 123.000000
1.000000, 123.000000
-4.000000, 123.000000
-1.000000, 123.000000
-1.000000, 125.000000
2.000000, 121.000000
-1.000000, 126.000000
-2.000000, 126.000000
1.000000, 119.000000
-1.000000, 126.000000
-3.000000, 123.000000
-4.000000, 123.000000
-1.000000, 124.000000
2.000000, 123.000000
1.000000, 121.000000
-2.000000, 125.000000
4.000000, 126.000000
-1.000000, 122.000000
1.000000, 125.000000
-3.000000, 125.000000
-2.000000, 122.000000
2.000000, 122.000000
-2.000000, 121.000000
-2.000000, 125.000000
-4.000000, 121.000000
1.000000, 120.000000
1.000000, 123.000000
-2.000000, 121.000000
-4.000000, 119.000000
1.000000, 120.000000
-6.000000, 121.000000
4.000000, 123.000000
-2.000000, 120.000000
-1.000000, 123.000000
-2.000000, 121.000000
-1.000000, 124.000000
-1.000000, 125.000000
-3.000000, 127.000000
-7.000000, 123.000000
-3.000000, 124.000000
-2.000000, 126.000000
-4.000000, 126.000000
-1.000000, 119.000000
-2.000000, 122.000000
-3.000000, 126.000000
-4.000000, 119.000000
-5.000000, 125.000000
-2.000000, 121.000000
-3.000000, 125.000000
-4.000000, 125.000000

=== 处理后的数据 ===
Calibrated_X, Calibrated_Y
34.000000, 195.662651
30.000000, 191.993976
30.000000, 194.439759
33.000000, 189.548193
35.000000, 190.771084
29.000000, 190.771084
34.000000, 189.548193
35.000000, 193.216867
31.000000, 187.102410
30.000000, 191.993976
35.000000, 188.325301
30.000000, 188.325301
35.000000, 189.548193
29.000000, 190.771084
32.000000, 191.993976
30.000000, 191.993976
33.000000, 190.771084
32.000000, 189.548193
37.000000, 189.548193
29.000000, 193.216867
35.000000, 185.879518
29.000000, 191.993976
35.000000, 195.662651
34.000000, 187.102410
35.000000, 189.548193
31.000000, 191.993976
34.000000, 190.771084
44.000000, 184.656627
79.000000, 177.319277
104.000000, 162.644578
139.000000, 128.403614
178.000000, 77.042169
203.000000, -7.337349
189.000000, -68.481928
156.000000, -116.174699
130.000000, -147.969880
104.000000, -169.981928
91.000000, -174.873494
86.000000, -173.650602
97.000000, -171.204819
118.000000, -165.090361
138.000000, -147.969880
159.000000, -112.506024
188.000000, -74.596386
199.000000, -26.903614
196.000000, 26.903614
174.000000, 88.048193
137.000000, 135.740964
83.000000, 166.313253
27.000000, 190.771084
-25.000000, 198.108434
-72.000000, 190.771084
-97.000000, 177.319277
-122.000000, 168.759036
-129.000000, 155.307229
-130.000000, 154.084337
-130.000000, 154.084337
-132.000000, 156.530120
-121.000000, 165.090361
-88.000000, 180.987952
-31.000000, 195.662651
53.000000, 183.433735
127.000000, 141.855422
175.000000, 83.156627
196.000000, 18.343373
191.000000, -33.018072
181.000000, -83.156627
165.000000, -119.843373
149.000000, -138.186747
136.000000, -145.524096
134.000000, -145.524096
139.000000, -145.524096
151.000000, -128.403614
166.000000, -111.283133
182.000000, -77.042169
199.000000, -42.801205
194.000000, 2.445783
194.000000, 52.584337
163.000000, 102.722892
130.000000, 141.855422
79.000000, 172.427711
39.000000, 191.993976
-8.000000, 191.993976
-36.000000, 196.885542
-64.000000, 185.879518
-72.000000, 191.993976
-76.000000, 185.879518
-73.000000, 188.325301
-65.000000, 187.102410
-46.000000, 196.885542
-17.000000, 195.662651
50.000000, 191.993976
135.000000, 139.409639
181.000000, 51.361446
196.000000, -30.572289
175.000000, -97.831325
135.000000, -150.415663
95.000000, -172.427711
65.000000, -184.656627
47.000000, -187.102410
34.000000, -185.879518
48.000000, -185.879518
67.000000, -182.210843
88.000000, -171.204819
115.000000, -168.759036
144.000000, -141.855422
169.000000, -113.728916
183.000000, -73.373494
194.000000, -39.132530
201.000000, 3.668675
190.000000, 50.138554
173.000000, 84.379518
156.000000, 119.843373
138.000000, 132.072289
127.000000, 145.524096
123.000000, 147.969880
129.000000, 144.301205
136.000000, 141.855422
144.000000, 130.849398
143.000000, 123.512048
148.000000, 123.512048
145.000000, 127.180723
157.000000, 114.951807
171.000000, 96.608434
180.000000, 75.819277
192.000000, 33.018072
200.000000, 1.222892
194.000000, -31.795181
192.000000, -51.361446
188.000000, -64.813253
188.000000, -63.590361
192.000000, -50.138554
198.000000, -15.897590
191.000000, 35.463855
145.000000, 124.734940
65.000000, 184.656627
-15.000000, 196.885542
-78.000000, 184.656627
-123.000000, 163.867470
-155.000000, 133.295181
-182.000000, 86.825301
-196.000000, 50.138554
-198.000000, 6.114458
-196.000000, -31.795181
-187.000000, -59.921687
-180.000000, -79.487952
-172.000000, -97.831325
-164.000000, -106.391566
-166.000000, -107.614458
-162.000000, -97.831325
-170.000000, -99.054217
-174.000000, -88.048193
-182.000000, -67.259036
-188.000000, -55.030120
-192.000000, -41.578313
-200.000000, -20.789157
-199.000000, -6.114458
-200.000000, 12.228916
-199.000000, 18.343373
-201.000000, 30.572289
-195.000000, 37.909639
-202.000000, 41.578313
-193.000000, 50.138554
-199.000000, 52.584337
-197.000000, 55.030120
-191.000000, 57.475904
-194.000000, 59.921687
-189.000000, 72.150602
-190.000000, 74.596386
-191.000000, 62.367470
-201.000000, 15.897590
-191.000000, -51.361446
-158.000000, -113.728916
-123.000000, -152.861446
-89.000000, -177.319277
-59.000000, -189.548193
-30.000000, -191.993976
-11.000000, -198.108434
4.000000, -196.885542
6.000000, -199.331325
2.000000, -198.108434
-7.000000, -198.108434
-20.000000, -194.439759
-40.000000, -189.548193
-50.000000, -182.210843
-69.000000, -177.319277
-91.000000, -162.644578
-112.000000, -152.861446
-132.000000, -136.963855
-151.000000, -116.174699
-165.000000, -103.945783
-175.000000, -81.933735
-182.000000, -47.692771
-197.000000, -25.680723
-196.000000, 3.668675
-200.000000, 19.566265
-201.000000, 42.801205
-196.000000, 58.698795
-190.000000, 61.144578
-191.000000, 68.481928
-194.000000, 66.036145
-191.000000, 70.927711
-191.000000, 77.042169
-187.000000, 77.042169
-191.000000, 80.710843
-192.000000, 66.036145
-203.000000, 18.343373
-184.000000, -53.807229
-152.000000, -123.512048
-110.000000, -158.975904
-82.000000, -177.319277
-60.000000, -183.433735
-51.000000, -182.210843
-45.000000, -196.885542
-45.000000, -187.102410
-50.000000, -187.102410
-52.000000, -188.325301
-65.000000, -178.542169
-71.000000, -178.542169
-84.000000, -171.204819
-99.000000, -163.867470
-115.000000, -150.415663
-128.000000, -136.963855
-145.000000, -124.734940
-158.000000, -111.283133
-163.000000, -99.054217
-181.000000, -79.487952
-181.000000, -64.813253
-185.000000, -48.915663
-195.000000, -34.240964
-196.000000, -30.572289
-203.000000, -8.560241
-198.000000, 24.457831
-196.000000, 66.036145
-175.000000, 107.614458
-136.000000, 152.861446
-76.000000, 189.548193
-6.000000, 188.325301
67.000000, 187.102410
116.000000, 156.530120
156.000000, 116.174699
181.000000, 77.042169
196.000000, 39.132530
198.000000, 19.566265
197.000000, 0.000000
196.000000, -9.783133
200.000000, -12.228916
197.000000, -6.114458
198.000000, 12.228916
197.000000, 26.903614
185.000000, 57.475904
170.000000, 85.602410
153.000000, 116.174699
127.000000, 143.078313
99.000000, 162.644578
68.000000, 179.765060
35.000000, 188.325301
2.000000, 195.662651
-20.000000, 195.662651
-37.000000, 195.662651
-48.000000, 190.771084
-46.000000, 193.216867
-41.000000, 195.662651
