mag_x,mag_y,mag_z,pitch,roll
-168.0,67.0,-123.0,0.578381,0.189847
-164.0,67.0,-117.0,0.563652,0.174843
-168.0,66.0,-119.0,0.556875,0.156074
-169.0,66.0,-121.0,0.553775,0.133266
-166.0,65.0,-121.0,0.554194,0.115429
-170.0,67.0,-124.0,0.562615,0.105518
-167.0,64.0,-119.0,0.575859,0.101007
-169.0,65.0,-123.0,0.59061,0.101084
-172.0,66.0,-122.0,0.601649,0.110296
-164.0,66.0,-118.0,0.608653,0.11865
-168.0,68.0,-120.0,0.618282,0.123187
-171.0,64.0,-121.0,0.630866,0.130838
-169.0,68.0,-120.0,0.63877,0.13885
-169.0,68.0,-121.0,0.649346,0.145022
-172.0,67.0,-119.0,0.670318,0.152667
-168.0,65.0,-122.0,0.685201,0.16367
-170.0,63.0,-123.0,0.700438,0.169688
-172.0,64.0,-121.0,0.720246,0.168873
-175.0,55.0,-120.0,0.749376,0.167383
-179.0,53.0,-118.0,0.781711,0.163517
-180.0,45.0,-122.0,0.822819,0.152605
-184.0,42.0,-123.0,0.858076,0.139563
-182.0,39.0,-121.0,0.896984,0.125644
-186.0,38.0,-123.0,0.926495,0.106291
-188.0,38.0,-123.0,0.917751,0.096047
-189.0,37.0,-119.0,0.874756,0.079576
-189.0,42.0,-121.0,0.809469,0.080698
-178.0,53.0,-123.0,0.706987,0.084255
-166.0,64.0,-122.0,0.540678,0.091212
-148.0,91.0,-119.0,0.360075,0.067363
-97.0,112.0,-123.0,0.113546,-0.009937
-49.0,118.0,-134.0,-0.154454,-0.156657
-4.0,124.0,-143.0,-0.449047,-0.37521
38.0,113.0,-152.0,-0.75609,-0.68007
71.0,100.0,-157.0,-1.069529,-1.035021
96.0,85.0,-166.0,-1.312025,-1.339556
114.0,72.0,-173.0,-1.527345,-1.585307
128.0,61.0,-178.0,-1.707769,-1.759938
132.0,52.0,-181.0,-1.815366,-1.844794
133.0,53.0,-180.0,-1.867992,-1.819651
133.0,50.0,-176.0,-1.894467,-1.717553
131.0,57.0,-178.0,-1.917211,-1.565055
120.0,65.0,-178.0,-1.921382,-1.383196
114.0,71.0,-174.0,-1.891354,-1.241506
118.0,69.0,-172.0,-1.862482,-1.170629
124.0,63.0,-176.0,-1.822906,-1.190749
136.0,52.0,-178.0,-1.76836,-1.335916
147.0,35.0,-190.0,-1.693775,-1.641417
165.0,2.0,-196.0,-1.597934,-2.063365
171.0,-37.0,-203.0,-1.425244,-2.489014
169.0,-91.0,-214.0,-0.681648,-3.450768
173.0,-91.0,-210.0,-0.510228,-3.515991
171.0,-85.0,-213.0,-0.433881,-3.531435
175.0,-79.0,-215.0,-0.435623,-3.469731
177.0,-56.0,-207.0,-0.529818,-3.352906
180.0,-28.0,-199.0,-0.695356,-3.095639
155.0,24.0,-190.0,-0.965657,-2.525205
94.0,86.0,-163.0,-1.139593,-1.785682
8.0,118.0,-148.0,-1.166233,-0.970235
-85.0,121.0,-129.0,-0.946324,-0.132166
-154.0,86.0,-119.0,-0.499115,0.518984
-189.0,25.0,-126.0,0.030974,0.699538
-189.0,-46.0,-139.0,0.425081,0.567344
-156.0,-110.0,-164.0,0.617782,0.230055
-105.0,-157.0,-183.0,0.579794,-0.247984
-39.0,-183.0,-199.0,0.315824,-0.760355
18.0,-196.0,-214.0,-0.131558,-1.183504
65.0,-190.0,-227.0,-0.664767,-1.474028
108.0,-172.0,-230.0,-1.085609,-1.670731
141.0,-152.0,-232.0,-1.396969,-1.813882
158.0,-128.0,-237.0,-1.622965,-1.950814
169.0,-104.0,-232.0,-1.732458,-2.109751
175.0,-85.0,-230.0,-1.747332,-2.325556
175.0,-67.0,-227.0,-1.744934,-2.560589
177.0,-54.0,-227.0,-1.724016,-2.823831
175.0,-51.0,-222.0,-1.679584,-3.104289
173.0,-49.0,-226.0,-1.61192,-3.384808
178.0,-47.0,-228.0,-1.511261,-3.632898
178.0,-50.0,-226.0,-1.368647,-3.849082
173.0,-59.0,-227.0,-1.187876,-4.032101
180.0,-65.0,-232.0,-0.943457,-4.168423
177.0,-79.0,-232.0,-0.64492,-4.258135
169.0,-95.0,-231.0,-0.317395,-4.2719
159.0,-114.0,-234.0,0.026317,-4.218967
152.0,-132.0,-230.0,0.315485,-4.111531
137.0,-146.0,-230.0,0.588302,-3.947562
121.0,-162.0,-237.0,0.814216,-3.726169
99.0,-174.0,-230.0,0.997902,-3.471184
76.0,-188.0,-227.0,1.130252,-3.219138
41.0,-193.0,-218.0,1.276395,-2.944345
6.0,-194.0,-213.0,1.366795,-2.634816
-29.0,-188.0,-204.0,1.428609,-2.346259
-70.0,-177.0,-197.0,1.46282,-2.071163
-101.0,-158.0,-190.0,1.474763,-1.795866
-128.0,-138.0,-175.0,1.440398,-1.539073
-157.0,-113.0,-159.0,1.373211,-1.33268
-175.0,-87.0,-153.0,1.256492,-1.128233
-190.0,-52.0,-145.0,1.136056,-0.962186
-196.0,-27.0,-135.0,0.972362,-0.8174
-199.0,4.0,-129.0,0.800301,-0.692614
-184.0,29.0,-128.0,0.610882,-0.586138
-179.0,49.0,-120.0,0.391313,-0.523468
-174.0,57.0,-118.0,0.173581,-0.469016
-169.0,68.0,-119.0,0.009487,-0.407845
-162.0,78.0,-115.0,-0.138889,-0.346623
-149.0,83.0,-120.0,-0.258534,-0.285928
-123.0,103.0,-123.0,-0.286649,-0.198147
-96.0,114.0,-122.0,-0.308494,-0.136331
-74.0,119.0,-127.0,-0.365669,-0.095959
-62.0,121.0,-131.0,-0.439829,-0.06498
-44.0,125.0,-136.0,-0.554078,-0.045417
-27.0,129.0,-136.0,-0.718219,-0.051535
-19.0,129.0,-140.0,-0.892686,-0.053838
-18.0,122.0,-141.0,-1.029619,-0.042929
-14.0,124.0,-136.0,-1.120171,-0.025803
