mag_x,mag_y,mag_z,pitch,roll
-188.0,61.0,-126.0,1.018997,-0.08461
-186.0,55.0,-130.0,1.03627,-0.077984
-185.0,54.0,-127.0,1.047937,-0.074191
-190.0,55.0,-127.0,1.059503,-0.06425
-190.0,58.0,-126.0,1.072101,-0.057607
-186.0,59.0,-129.0,1.09214,-0.050324
-183.0,56.0,-123.0,1.104255,-0.052564
-188.0,54.0,-128.0,1.121597,-0.058566
-186.0,57.0,-128.0,1.143872,-0.064313
-188.0,58.0,-130.0,1.156028,-0.065404
-185.0,57.0,-131.0,1.158884,-0.069652
-187.0,55.0,-130.0,1.154719,-0.070322
-188.0,55.0,-132.0,1.147534,-0.070392
-185.0,53.0,-128.0,1.143634,-0.08643
-188.0,57.0,-130.0,1.136275,-0.106568
-190.0,55.0,-127.0,1.13504,-0.126977
-191.0,59.0,-131.0,1.140159,-0.147937
-185.0,60.0,-130.0,1.145438,-0.160794
-182.0,55.0,-128.0,1.145391,-0.156583
-188.0,59.0,-126.0,1.150249,-0.15159
-187.0,56.0,-129.0,1.159692,-0.147134
-189.0,56.0,-128.0,1.169238,-0.136398
-185.0,57.0,-131.0,1.175801,-0.133657
-192.0,59.0,-127.0,1.173134,-0.138976
-189.0,54.0,-130.0,1.094889,-0.160782
-193.0,54.0,-124.0,0.978856,-0.172476
-183.0,65.0,-125.0,0.842485,-0.187916
-173.0,83.0,-125.0,0.652936,-0.196585
-149.0,95.0,-124.0,0.412213,-0.184638
-96.0,122.0,-126.0,0.262448,-0.185775
-34.0,132.0,-139.0,0.047563,-0.283873
31.0,128.0,-157.0,-0.244518,-0.446666
80.0,105.0,-167.0,-0.470141,-0.696185
119.0,74.0,-180.0,-0.647785,-1.023722
146.0,47.0,-185.0,-0.907047,-1.393531
163.0,25.0,-195.0,-1.154973,-1.72096
171.0,2.0,-198.0,-1.363122,-2.039909
177.0,-18.0,-208.0,-1.587887,-2.32528
181.0,-30.0,-207.0,-1.787574,-2.545173
182.0,-35.0,-211.0,-1.912459,-2.688043
182.0,-34.0,-208.0,-1.955167,-2.739019
179.0,-42.0,-208.0,-1.925055,-2.7424
184.0,-41.0,-208.0,-1.849912,-2.714645
187.0,-40.0,-204.0,-1.735768,-2.685179
185.0,-46.0,-209.0,-1.594993,-2.70101
185.0,-62.0,-214.0,-1.417451,-2.805127
181.0,-87.0,-213.0,-1.171183,-2.927829
168.0,-118.0,-219.0,-0.868083,-3.11445
151.0,-137.0,-219.0,-0.507939,-3.286273
143.0,-154.0,-220.0,-0.142552,-3.361162
132.0,-165.0,-221.0,0.172402,-3.351349
120.0,-172.0,-224.0,0.513851,-3.385994
122.0,-173.0,-221.0,0.835548,-3.613176
123.0,-170.0,-219.0,1.053377,-3.770048
125.0,-164.0,-219.0,1.151064,-3.889614
137.0,-162.0,-223.0,1.149607,-3.961179
146.0,-153.0,-223.0,0.893928,-3.921553
163.0,-127.0,-215.0,0.530147,-3.811917
179.0,-83.0,-217.0,-0.058676,-3.52032
179.0,-28.0,-207.0,-0.651374,-3.094681
157.0,28.0,-195.0,-1.224539,-2.473995
120.0,77.0,-182.0,-1.652609,-1.64887
53.0,119.0,-158.0,-1.820975,-0.818734
-14.0,131.0,-142.0,-1.707802,-0.125121
-78.0,129.0,-128.0,-1.455622,0.462203
-134.0,104.0,-124.0,-1.059615,0.889508
-182.0,65.0,-126.0,-0.579448,1.083861
-202.0,20.0,-132.0,-0.090112,1.083602
-204.0,-29.0,-145.0,0.369601,0.880037
-193.0,-74.0,-157.0,0.72834,0.480759
-172.0,-109.0,-171.0,0.93918,-0.098455
-151.0,-136.0,-181.0,0.972801,-0.667231
-149.0,-138.0,-176.0,0.876867,-1.232759
-150.0,-139.0,-178.0,0.770486,-1.774278
-147.0,-140.0,-181.0,0.665744,-2.240368
-143.0,-139.0,-181.0,0.648721,-2.605546
-148.0,-136.0,-178.0,0.724984,-2.923433
-155.0,-133.0,-172.0,0.869346,-3.089716
-163.0,-124.0,-171.0,1.086731,-3.15294
-179.0,-100.0,-164.0,1.42154,-3.128138
-199.0,-65.0,-153.0,1.849608,-2.960396
-209.0,-8.0,-143.0,2.301806,-2.620621
-187.0,58.0,-126.0,2.675121,-2.052034
-142.0,102.0,-126.0,2.708324,-1.211396
-76.0,128.0,-137.0,2.165922,-0.317913
-13.0,127.0,-144.0,1.116931,0.240007
49.0,116.0,-159.0,-0.176854,0.319644
99.0,91.0,-170.0,-1.392086,-0.126619
134.0,61.0,-184.0,-2.289778,-0.917862
158.0,27.0,-194.0,-2.789755,-1.787236
169.0,-3.0,-204.0,-2.982419,-2.571151
186.0,-28.0,-210.0,-2.90866,-3.212498
184.0,-42.0,-209.0,-2.687516,-3.626755
180.0,-65.0,-213.0,-2.423906,-3.829481
182.0,-74.0,-212.0,-2.16158,-3.883366
181.0,-74.0,-215.0,-1.90258,-3.819315
184.0,-78.0,-218.0,-1.67369,-3.649974
178.0,-75.0,-212.0,-1.48257,-3.41566
186.0,-69.0,-207.0,-1.320742,-3.152925
187.0,-58.0,-212.0,-1.188703,-2.864537
182.0,-44.0,-208.0,-1.109457,-2.562273
175.0,-11.0,-202.0,-1.073849,-2.18731
151.0,34.0,-194.0,-1.164795,-1.643878
107.0,85.0,-177.0,-1.170154,-0.991234
49.0,118.0,-158.0,-1.009633,-0.36024
-21.0,129.0,-144.0,-0.696003,0.219677
-89.0,128.0,-130.0,-0.304206,0.527679
-144.0,104.0,-125.0,0.163269,0.50915
-184.0,60.0,-127.0,0.515082,0.250261
-202.0,8.0,-136.0,0.699189,-0.068481
-203.0,-40.0,-149.0,0.76907,-0.46392
-184.0,-92.0,-164.0,0.748673,-0.826564
-149.0,-139.0,-176.0,0.623716,-1.152071
-117.0,-165.0,-192.0,0.433602,-1.475312
-76.0,-182.0,-202.0,0.193634,-1.782758
-34.0,-204.0,-212.0,-0.089046,-2.044495
-6.0,-198.0,-218.0,-0.363931,-2.252737
26.0,-201.0,-221.0,-0.593534,-2.418925
44.0,-199.0,-228.0,-0.771761,-2.532551
66.0,-195.0,-233.0,-0.843482,-2.663432
78.0,-189.0,-232.0,-0.813482,-2.806186
91.0,-188.0,-233.0,-0.703879,-2.96576
94.0,-186.0,-234.0,-0.534841,-3.157006
95.0,-181.0,-238.0,-0.312732,-3.34242
98.0,-192.0,-238.0,-0.059429,-3.514279
94.0,-186.0,-238.0,0.225462,-3.700766
88.0,-183.0,-235.0,0.483243,-3.817747
99.0,-177.0,-236.0,0.678283,-3.86662
129.0,-165.0,-238.0,0.709112,-3.855887
158.0,-134.0,-240.0,0.427321,-3.747705
178.0,-86.0,-236.0,-0.066586,-3.493572
180.0,-43.0,-228.0,-0.644067,-3.105354
169.0,1.0,-221.0,-1.190845,-2.572158
152.0,32.0,-206.0,-1.585498,-1.982807
128.0,59.0,-197.0,-1.733471,-1.50519
105.0,83.0,-188.0,-1.757306,-1.127093
80.0,97.0,-179.0,-1.693954,-0.87255
61.0,104.0,-173.0,-1.578645,-0.730223
47.0,110.0,-176.0,-1.448779,-0.700874
40.0,114.0,-171.0,-1.335357,-0.744164
41.0,113.0,-170.0,-1.242372,-0.85574
41.0,109.0,-169.0,-1.181309,-1.018911
53.0,111.0,-172.0,-1.131921,-1.241107
73.0,95.0,-179.0,-1.091033,-1.534181
116.0,74.0,-195.0,-1.024238,-1.900099
160.0,21.0,-215.0,-0.810251,-2.386979
177.0,-38.0,-231.0,-0.443113,-2.855874
178.0,-99.0,-237.0,0.030937,-3.183835
146.0,-155.0,-243.0,0.567463,-3.320952
89.0,-189.0,-240.0,1.027882,-3.276021
14.0,-198.0,-223.0,1.299908,-3.020702
-61.0,-190.0,-205.0,1.393543,-2.673909
-132.0,-154.0,-183.0,1.344775,-2.335633
-181.0,-97.0,-163.0,1.12314,-1.975051
-209.0,-36.0,-142.0,0.756813,-1.705076
-198.0,31.0,-129.0,0.288739,-1.551379
-167.0,84.0,-123.0,-0.241682,-1.555955
-118.0,117.0,-127.0,-0.738606,-1.743376
-53.0,131.0,-139.0,-1.087082,-2.118004
10.0,137.0,-150.0,-1.248774,-2.515005
58.0,116.0,-163.0,-1.30802,-2.860958
99.0,89.0,-171.0,-1.298563,-3.125458
130.0,73.0,-180.0,-1.291204,-3.235399
144.0,51.0,-188.0,-1.274973,-3.209872
160.0,31.0,-193.0,-1.289993,-3.090352
169.0,16.0,-196.0,-1.305925,-2.903556
174.0,2.0,-200.0,-1.318964,-2.773464
173.0,3.0,-201.0,-1.397963,-2.688521
168.0,12.0,-199.0,-1.535616,-2.560822
160.0,26.0,-193.0,-1.711145,-2.360229
144.0,53.0,-183.0,-1.87694,-2.012575
100.0,90.0,-172.0,-2.052503,-1.230545
24.0,126.0,-150.0,-2.042634,-0.120189
-61.0,133.0,-138.0,-1.71251,0.958908
-132.0,106.0,-126.0,-0.993123,1.803718
-184.0,61.0,-127.0,-0.0522,2.236891
-213.0,-4.0,-137.0,0.912015,2.077121
-194.0,-67.0,-157.0,1.711404,1.308823
-160.0,-132.0,-176.0,2.119866,0.27492
-109.0,-172.0,-193.0,2.068445,-0.895161
-45.0,-198.0,-209.0,1.592363,-2.016323
11.0,-199.0,-223.0,0.784839,-2.857139
62.0,-197.0,-231.0,-0.175292,-3.330712
103.0,-180.0,-236.0,-1.056576,-3.505633
136.0,-158.0,-242.0,-1.805733,-3.416046
152.0,-141.0,-239.0,-2.364632,-3.164907
170.0,-114.0,-238.0,-2.738959,-2.868799
178.0,-90.0,-237.0,-2.941756,-2.570004
180.0,-70.0,-232.0,-2.990753,-2.325121
180.0,-49.0,-231.0,-2.901627,-2.171803
182.0,-40.0,-226.0,-2.663781,-2.165286
176.0,-29.0,-225.0,-2.317649,-2.304826
182.0,-32.0,-225.0,-1.891493,-2.591479
181.0,-41.0,-226.0,-1.437525,-2.955881
181.0,-55.0,-228.0,-0.923489,-3.372502
177.0,-82.0,-234.0,-0.34228,-3.82493
155.0,-130.0,-243.0,0.251736,-4.078852
113.0,-178.0,-239.0,0.864957,-4.120013
38.0,-200.0,-225.0,1.482418,-3.989255
-45.0,-193.0,-204.0,2.036928,-3.561514
-118.0,-163.0,-186.0,2.317306,-2.815235
-175.0,-101.0,-166.0,2.329415,-2.092195
