mag_x,mag_y,mag_z,pitch,roll
-185.0,38.0,-131.0,0.096215,-0.461719
-172.0,54.0,-131.0,0.077699,-0.514598
-165.0,62.0,-131.0,0.041027,-0.543841
-144.0,81.0,-124.0,-0.027326,-0.54355
-131.0,87.0,-127.0,-0.122718,-0.537835
-114.0,100.0,-128.0,-0.242697,-0.533685
-101.0,111.0,-132.0,-0.375208,-0.536449
-86.0,111.0,-133.0,-0.51408,-0.549921
-76.0,119.0,-139.0,-0.631086,-0.552918
-64.0,116.0,-141.0,-0.756958,-0.555768
-59.0,121.0,-136.0,-0.872211,-0.549456
-60.0,119.0,-135.0,-0.981747,-0.522877
-58.0,122.0,-138.0,-1.07513,-0.491026
-57.0,119.0,-136.0,-1.166584,-0.479454
-58.0,121.0,-139.0,-1.224031,-0.436006
-73.0,119.0,-134.0,-1.243118,-0.355051
-90.0,110.0,-132.0,-1.218028,-0.239721
-117.0,101.0,-133.0,-1.142865,-0.090794
-143.0,90.0,-128.0,-1.088897,-0.059476
-152.0,77.0,-128.0,-0.968847,-0.049852
-165.0,60.0,-128.0,-0.957084,-0.134884
-174.0,48.0,-130.0,-0.920707,-0.242157
-181.0,38.0,-134.0,-0.832514,-0.417415
-183.0,28.0,-133.0,-0.684316,-0.458726
-187.0,28.0,-128.0,-0.545395,-0.539016
-186.0,30.0,-131.0,-0.303864,-0.576508
-185.0,27.0,-133.0,-0.064313,-0.624539
-182.0,33.0,-133.0,0.119246,-0.630509
-181.0,39.0,-132.0,0.305958,-0.645101
-175.0,48.0,-128.0,0.467355,-0.636563
-169.0,60.0,-129.0,0.652128,-0.619981
-159.0,74.0,-131.0,0.705922,-0.534726
-139.0,87.0,-129.0,0.620239,-0.431146
-159.0,75.0,-130.0,-0.914865,0.362151
-184.0,34.0,-132.0,-0.505566,0.586602
-195.0,-12.0,-142.0,-0.004524,0.65191
-188.0,-54.0,-155.0,0.530804,0.526685
-167.0,-100.0,-167.0,0.943117,0.15086
-146.0,-128.0,-176.0,1.172554,-0.433842
-131.0,-141.0,-184.0,1.174024,-1.077137
-131.0,-137.0,-179.0,1.078978,-1.65167
-140.0,-128.0,-175.0,0.993638,-2.112542
-159.0,-106.0,-171.0,1.02103,-2.435475
-178.0,-79.0,-158.0,1.152153,-2.603641
-188.0,-44.0,-148.0,1.366117,-2.618752
-191.0,-3.0,-135.0,1.554297,-2.432583
-187.0,37.0,-133.0,1.633545,-2.103598
-162.0,71.0,-129.0,1.543924,-1.676571
-131.0,94.0,-130.0,1.260594,-1.216032
-102.0,108.0,-126.0,0.803687,-0.824401
-74.0,116.0,-135.0,0.257026,-0.587453
-61.0,119.0,-137.0,-0.251563,-0.442216
-66.0,118.0,-138.0,-0.682968,-0.351111
-78.0,119.0,-138.0,-0.987636,-0.231961
-103.0,109.0,-130.0,-1.136779,-0.011568
-134.0,89.0,-132.0,-1.107935,0.294821
-169.0,62.0,-128.0,-0.913693,0.630147
-191.0,9.0,-138.0,-0.537391,0.907717
-191.0,-47.0,-153.0,-0.052939,1.000383
-173.0,-93.0,-164.0,0.396184,0.797314
-152.0,-118.0,-172.0,0.702747,0.390366
-140.0,-128.0,-175.0,0.818972,-0.157493
-133.0,-143.0,-178.0,0.784861,-0.717834
-129.0,-141.0,-182.0,0.704855,-1.246414
-146.0,-126.0,-174.0,0.667584,-1.693687
-164.0,-100.0,-166.0,0.684689,-2.076193
-184.0,-67.0,-154.0,0.808795,-2.331447
-193.0,-24.0,-141.0,0.998142,-2.439626
-192.0,19.0,-137.0,1.174821,-2.342854
-169.0,59.0,-128.0,1.263265,-2.07422
-143.0,81.0,-129.0,1.235721,-1.714551
-107.0,101.0,-130.0,0.986597,-1.337267
-80.0,117.0,-136.0,0.595495,-1.02649
-51.0,118.0,-137.0,0.189687,-0.808699
-38.0,126.0,-141.0,-0.244801,-0.680592
-18.0,121.0,-143.0,-0.684962,-0.59545
-8.0,125.0,-146.0,-1.010401,-0.517866
-6.0,120.0,-146.0,-1.265012,-0.436531
-2.0,122.0,-146.0,-1.483793,-0.370283
-6.0,125.0,-149.0,-1.63957,-0.30654
-10.0,117.0,-146.0,-1.725676,-0.268351
-2.0,122.0,-147.0,-1.756582,-0.266306
-2.0,122.0,-145.0,-1.773431,-0.235635
-1.0,120.0,-146.0,-1.760142,-0.258164
10.0,119.0,-150.0,-1.758127,-0.356784
28.0,117.0,-152.0,-1.733751,-0.492335
53.0,97.0,-163.0,-1.698194,-0.68902
84.0,90.0,-170.0,-1.609808,-0.976636
106.0,70.0,-177.0,-1.522508,-1.293828
126.0,54.0,-182.0,-1.394411,-1.57729
142.0,39.0,-189.0,-1.284623,-1.837164
150.0,22.0,-193.0,-1.182445,-2.035425
157.0,7.0,-196.0,-1.056061,-2.203577
163.0,-6.0,-198.0,-0.968834,-2.297992
162.0,-3.0,-196.0,-0.921981,-2.345348
163.0,-4.0,-195.0,-0.976205,-2.509335
157.0,11.0,-198.0,-1.137507,-2.604295
140.0,36.0,-188.0,-1.420007,-2.589632
116.0,67.0,-174.0,-1.7166,-2.493036
87.0,90.0,-166.0,-1.982937,-2.276234
58.0,98.0,-159.0,-2.100259,-1.824722
43.0,107.0,-158.0,-2.072722,-1.468217
27.0,113.0,-158.0,-1.946573,-1.262435
38.0,109.0,-156.0,-1.800107,-1.182569
57.0,101.0,-158.0,-1.696658,-1.268046
82.0,90.0,-167.0,-1.599478,-1.493055
106.0,70.0,-180.0,-1.536811,-1.803116
133.0,47.0,-186.0,-1.462383,-2.174247
154.0,19.0,-193.0,-1.314584,-2.564312
163.0,-18.0,-206.0,-1.075254,-2.917492
174.0,-47.0,-207.0,-0.816427,-3.215685
172.0,-75.0,-208.0,-0.533843,-3.420449
160.0,-102.0,-214.0,-0.270406,-3.526512
150.0,-123.0,-216.0,-0.089065,-3.545237
143.0,-139.0,-222.0,0.013787,-3.498284
141.0,-138.0,-216.0,0.013727,-3.393164
148.0,-133.0,-216.0,-0.128473,-3.246102
160.0,-113.0,-217.0,-0.400889,-3.061595
174.0,-77.0,-210.0,-0.77232,-2.782407
166.0,-33.0,-207.0,-1.180249,-2.421104
156.0,15.0,-195.0,-1.534371,-1.93356
126.0,54.0,-181.0,-1.754032,-1.415486
-172.0,-91.0,-162.0,0.334774,-0.604348
-152.0,-119.0,-175.0,0.342419,-0.698095
-129.0,-141.0,-181.0,0.310269,-0.84052
-117.0,-151.0,-182.0,0.277731,-1.052579
-108.0,-160.0,-192.0,0.245032,-1.278008
-143.0,85.0,-128.0,-1.587132,0.037899
-138.0,88.0,-126.0,-1.502932,-0.000134
-144.0,83.0,-129.0,-1.411083,-0.061758
-146.0,89.0,-124.0,-1.313896,-0.146106
-143.0,81.0,-126.0,-1.208338,-0.234516
-142.0,84.0,-123.0,-1.090572,-0.323367
-152.0,79.0,-126.0,-0.976925,-0.384126
-160.0,68.0,-131.0,-0.816258,-0.411993
-176.0,49.0,-128.0,-0.738603,-0.455952
-189.0,17.0,-134.0,-0.632329,-0.437098
-200.0,-20.0,-139.0,-0.520194,-0.443347
-193.0,-58.0,-149.0,-0.390081,-0.52988
-183.0,-71.0,-156.0,-0.306222,-0.699893
-181.0,-61.0,-153.0,-0.139179,-0.839029
-196.0,-53.0,-149.0,-0.019329,-1.04353
-192.0,-16.0,-139.0,0.101679,-1.206679
-190.0,24.0,-135.0,0.176093,-1.259436
-172.0,56.0,-126.0,0.203694,-1.189563
-146.0,86.0,-128.0,0.151902,-1.083133
-117.0,98.0,-131.0,0.002316,-0.989535
-87.0,112.0,-131.0,-0.206558,-0.925326
-59.0,118.0,-141.0,-0.410939,-0.882648
-48.0,117.0,-141.0,-0.636096,-0.869911
-47.0,117.0,-139.0,-0.854,-0.824637
-169.0,-90.0,-162.0,0.394441,-0.783379
-181.0,-73.0,-157.0,0.345966,-1.232155
-197.0,-39.0,-144.0,0.32355,-1.575567
-192.0,8.0,-138.0,0.379732,-1.806664
-171.0,58.0,-127.0,0.452185,-1.91059
-144.0,85.0,-124.0,0.479557,-1.88235
-106.0,107.0,-131.0,0.391769,-1.766857
-68.0,119.0,-135.0,0.202535,-1.662409
-45.0,117.0,-139.0,-0.070372,-1.571145
-32.0,113.0,-144.0,-0.373326,-1.48407
-44.0,122.0,-143.0,-0.697406,-1.375432
-66.0,117.0,-139.0,-0.973179,-1.232518
-94.0,108.0,-134.0,-1.160273,-0.940659
-139.0,89.0,-124.0,-1.270956,-0.569694
-173.0,51.0,-130.0,-1.223717,-0.122987
-192.0,9.0,-139.0,-0.985535,0.226072
-186.0,-42.0,-149.0,-0.631149,0.46111
-178.0,-78.0,-161.0,-0.21159,0.445051
160.0,-113.0,-220.0,-0.91948,-2.473787
169.0,-72.0,-211.0,-1.308648,-2.301161
169.0,-37.0,-207.0,-1.637096,-1.999479
158.0,5.0,-196.0,-1.842711,-1.693585
133.0,38.0,-187.0,-1.927648,-1.358333
98.0,79.0,-180.0,-1.910791,-1.066574
65.0,100.0,-164.0,-1.792226,-0.91072
38.0,108.0,-156.0,-1.662028,-0.919064
29.0,113.0,-156.0,-1.571202,-1.100309
38.0,106.0,-161.0,-1.543274,-1.426316
63.0,100.0,-165.0,-1.521137,-1.86577
90.0,80.0,-170.0,-1.439131,-2.394412
127.0,58.0,-185.0,-1.283,-2.961687
147.0,22.0,-194.0,-0.995667,-3.467066
166.0,-20.0,-204.0,-0.572334,-3.891136
169.0,-61.0,-208.0,-0.083441,-4.138416
162.0,-91.0,-220.0,0.385361,-4.177503
146.0,-127.0,-218.0,0.74428,-4.020463
125.0,-153.0,-219.0,0.957735,-3.764396
106.0,-164.0,-215.0,0.966872,-3.442014
97.0,-171.0,-216.0,0.848807,-3.152536
89.0,-178.0,-212.0,0.59483,-2.955338
98.0,-173.0,-215.0,0.293199,-2.841855
123.0,-162.0,-218.0,-0.088104,-2.775655
146.0,-132.0,-219.0,-0.474897,-2.687708
165.0,-97.0,-213.0,-0.850501,-2.482931
174.0,-56.0,-206.0,-1.203431,-2.148192
161.0,-10.0,-198.0,-1.507978,-1.715825
142.0,37.0,-185.0,-1.693346,-1.307101
102.0,75.0,-180.0,-1.800271,-0.990415
69.0,96.0,-166.0,-1.90422,-0.755117
19.0,118.0,-153.0,-1.919285,-0.640395
-32.0,122.0,-138.0,-1.92725,-0.635372
-68.0,117.0,-134.0,-1.867957,-0.703766
-91.0,112.0,-129.0,-1.778811,-0.800134
-116.0,107.0,-131.0,-1.654993,-0.981671
-116.0,105.0,-128.0,-1.55237,-1.229083
-103.0,101.0,-127.0,-1.426112,-1.556076
-88.0,117.0,-133.0,-1.293127,-1.905857
-55.0,122.0,-140.0,-1.041024,-2.288176
-3.0,122.0,-151.0,-0.693033,-2.621617
50.0,105.0,-160.0,-0.253242,-2.881403
102.0,77.0,-176.0,0.232163,-3.068697
138.0,43.0,-186.0,0.606079,-3.087915
158.0,6.0,-195.0,0.814531,-3.047218
169.0,-37.0,-207.0,0.881154,-2.981972
170.0,-79.0,-212.0,0.831724,-2.890574
154.0,-112.0,-214.0,0.690715,-2.760774
-130.0,96.0,-129.0,-1.813698,0.307081
-162.0,68.0,-128.0,-1.423975,0.782313
-179.0,37.0,-129.0,-0.943579,1.107751
-191.0,13.0,-137.0,-0.402854,1.210267
-189.0,-15.0,-138.0,0.131883,1.083154
-191.0,-34.0,-143.0,0.532287,0.758121
-192.0,-43.0,-148.0,0.756006,0.309223
-191.0,-37.0,-146.0,0.865261,-0.163936
-189.0,-21.0,-142.0,0.883466,-0.584413
-193.0,5.0,-135.0,0.840676,-0.907439
-181.0,43.0,-127.0,0.772773,-1.158216
-146.0,81.0,-128.0,0.671967,-1.332116
-97.0,110.0,-131.0,0.521196,-1.412845
-80.0,119.0,-134.0,-1.947931,0.43361
-87.0,114.0,-134.0,-1.906758,0.619751
-98.0,111.0,-133.0,-1.809234,0.590866
-101.0,106.0,-128.0,-1.695684,0.450313
-125.0,100.0,-130.0,-1.422289,0.374174
-150.0,76.0,-122.0,-1.03744,0.337157
-179.0,48.0,-130.0,-0.579344,0.321536
-191.0,9.0,-137.0,-0.093855,0.237548
-193.0,-36.0,-148.0,0.354691,0.036454
-183.0,-66.0,-154.0,0.684836,-0.34067
-172.0,-87.0,-166.0,0.811749,-0.814179
-161.0,-99.0,-166.0,0.779444,-1.304065
-169.0,-97.0,-164.0,0.699077,-1.769178
-171.0,-84.0,-159.0,0.651763,-2.161819
-183.0,-60.0,-153.0,0.709717,-2.422855
-197.0,-26.0,-138.0,0.878287,-2.569632
-189.0,17.0,-134.0,1.121115,-2.515541
-168.0,63.0,-129.0,1.279123,-2.303331
-138.0,92.0,-126.0,1.312509,-1.96085
-105.0,109.0,-134.0,1.144118,-1.593532
-76.0,118.0,-133.0,0.787217,-1.276119
-56.0,122.0,-137.0,0.316347,-1.107674
-33.0,123.0,-139.0,-0.127661,-1.024159
-36.0,122.0,-144.0,-0.500574,-0.996694
-51.0,121.0,-141.0,-0.823383,-0.923673
-78.0,119.0,-134.0,-1.006129,-0.790855
-113.0,106.0,-132.0,-1.066611,-0.554536
-154.0,79.0,-132.0,-0.985863,-0.194245
-185.0,42.0,-129.0,-0.788705,0.210087
-195.0,-8.0,-138.0,-0.428007,0.51114
-187.0,-42.0,-146.0,-0.009612,0.623858
-177.0,-70.0,-156.0,0.436213,0.63048
-155.0,-108.0,-166.0,0.807892,0.392512
-130.0,-136.0,-179.0,1.079982,-0.055623
