compensated_x,compensated_y
46.5309525335401,93.46049236117535
45.53626567582999,93.48277954121673
48.54459469779497,93.48183319652273
46.589420678352646,91.41500324210622
49.553908573587684,93.45121200404294
48.60254769214746,92.41952972907211
47.715968091295295,92.34271633813005
46.59572259116914,95.51126417539126
47.74268911636398,91.42870322441826
44.76436876715279,92.46160814842912
46.84961422036663,95.42469952761435
46.8644033736598,89.4208647004489
44.950020142236276,90.3252604172736
45.79269003621913,94.43607342101716
42.75969893871827,88.43376928727136
43.70360903145551,93.43015594807555
48.5793017400109,89.51771061944868
47.5915108830364,96.47774019611197
46.62704071885188,91.4385751884281
44.613384844913796,89.43629497083171
44.57131103093152,88.48780327747245
46.706475818117546,95.36636289462129
45.60875976539368,98.46376256365951
46.58216684772065,93.4911334990476
47.59614094979669,94.44992891690413
45.50371126110308,90.48470556414507
49.463368805789884,90.44615405628245
47.35653922442769,96.4695931348098
47.29795366003016,91.44791131367336
41.277971465864724,93.39718788821371
43.37850357693085,90.76514025800647
58.5389380355435,88.08380693116057
84.43900457697019,75.7732299197727
105.726734605723,55.3634668515097
143.00809051760544,26.366897843919972
165.97759051225822,-24.089457541561835
178.49909232948792,-77.72604967215067
175.41931964808964,-117.37431507766259
157.01549330523002,-147.78194905886656
145.80550448368314,-162.5337852545881
134.95686202626422,-172.29883225469356
134.7819284426446,-169.71760195010415
148.25012118545345,-161.35420777459717
155.13801873004957,-142.8214646512298
159.80801818842988,-135.8107756449469
163.54461915855111,-138.65154014370435
148.70890236549715,-161.32139377957162
104.29775787550275,-202.15482000322834
62.54870508166235,-220.15285071234106
15.913846647165835,-217.8287165336288
-15.8458845913703,-214.66862319947575
-39.041405964105536,-212.12131446758482
-57.37162183660115,-204.2082526773752
-74.0671272405062,-194.34371976726544
-89.50384757632445,-188.9874774167459
-100.11014502555639,-180.29717353902703
-105.85254517647327,-176.05365824871268
-113.13613770074278,-169.4490637196575
-107.07353606544736,-172.74024340584774
-112.49846818454003,-165.5516702775185
-118.73158103719351,-163.0490636514661
-115.41093538262497,-164.89692679439915
-110.32140221751486,-166.0188882437413
-99.2333772871626,-177.04704860323778
-79.34169170065869,-185.32860559186597
-50.673856817624355,-199.00891809650454
-20.781426990320274,-208.57533291335676
22.94524396577155,-208.66335849763234
57.92281817044238,-200.69279873866583
101.1580139455968,-185.83795731342076
136.98516315258266,-156.82195742736633
165.2510478442802,-120.74505483873043
178.00950685217813,-70.74317912721673
165.23583177658804,-5.664931447627139
131.55204236502192,39.86480770194614
75.88559309951738,84.48859628818299
17.459094527061293,100.97170932903869
-33.4696081752116,103.90975328173036
-81.10671447693304,103.26043373635913
-122.59200849389345,91.04846610388682
-148.22190081453252,72.55335321991387
-161.85336183803355,66.60197873361665
-162.26837646408802,62.27200198331226
-173.575461254579,59.810480317030844
-172.9547120312152,45.29067545058086
-194.52566412884164,13.25844515826252
-195.95967836811772,-24.8522738888781
