mag_x,mag_y,mag_z,pitch,roll
-130.0,-149.0,-154.0,2.066429,-1.317868
-132.0,-148.0,-152.0,2.051267,-1.307765
-134.0,-151.0,-153.0,2.049875,-1.296172
-132.0,-149.0,-155.0,2.057793,-1.296583
-131.0,-152.0,-152.0,2.084023,-1.299982
-124.0,-150.0,-155.0,2.119055,-1.313009
-130.0,-149.0,-151.0,2.147202,-1.332188
-125.0,-149.0,-155.0,2.177172,-1.3477
-129.0,-152.0,-151.0,2.21112,-1.356559
-128.0,-150.0,-153.0,2.226033,-1.366073
-127.0,-147.0,-151.0,2.230623,-1.367454
-132.0,-151.0,-149.0,2.228086,-1.363523
-128.0,-147.0,-152.0,2.216454,-1.360339
-128.0,-148.0,-155.0,2.202893,-1.360114
-133.0,-149.0,-151.0,2.179611,-1.363319
-129.0,-154.0,-152.0,2.159859,-1.370819
-129.0,-146.0,-154.0,2.136698,-1.376548
-130.0,-150.0,-156.0,2.106379,-1.387611
-124.0,-147.0,-153.0,2.072608,-1.392479
-133.0,-151.0,-150.0,2.06069,-1.386225
-128.0,-152.0,-154.0,2.051114,-1.377781
-131.0,-147.0,-154.0,2.062618,-1.37422
-127.0,-149.0,-148.0,2.086482,-1.367454
-127.0,-148.0,-151.0,2.115743,-1.359316
-129.0,-148.0,-153.0,2.136895,-1.348214
-140.0,-141.0,-144.0,2.15565,-1.310553
-150.0,-131.0,-142.0,2.141825,-1.190191
-165.0,-114.0,-137.0,2.144678,-1.069496
-185.0,-85.0,-124.0,2.102188,-0.885351
-196.0,-43.0,-114.0,1.998025,-0.63864
-203.0,-2.0,-105.0,1.755482,-0.406607
-193.0,31.0,-103.0,1.424657,-0.268266
-177.0,47.0,-105.0,1.005667,-0.193372
-171.0,55.0,-101.0,0.56816,-0.208712
-171.0,60.0,-103.0,0.184678,-0.291509
-176.0,59.0,-106.0,-0.065745,-0.324398
-173.0,47.0,-102.0,-0.22009,-0.293177
-189.0,29.0,-100.0,-0.296075,-0.158074
-198.0,6.0,-106.0,-0.260158,0.028823
-197.0,-20.0,-114.0,-0.089151,0.233013
-199.0,-46.0,-116.0,0.167852,0.416409
-188.0,-72.0,-126.0,0.468001,0.54374
-176.0,-97.0,-133.0,0.771957,0.571855
-145.0,-134.0,-151.0,1.090761,0.502194
-108.0,-158.0,-163.0,1.379835,0.322819
-68.0,-184.0,-177.0,1.658903,0.001018
-28.0,-196.0,-179.0,1.895655,-0.468953
16.0,-199.0,-193.0,2.029926,-1.057809
45.0,-196.0,-201.0,1.996477,-1.692556
74.0,-186.0,-202.0,1.808737,-2.299443
90.0,-187.0,-205.0,1.540422,-2.798014
96.0,-187.0,-209.0,1.233721,-3.205529
91.0,-186.0,-211.0,0.963151,-3.530113
77.0,-188.0,-203.0,0.823616,-3.79367
53.0,-192.0,-200.0,0.873539,-3.995421
6.0,-195.0,-193.0,1.106104,-4.169677
-50.0,-189.0,-174.0,1.601347,-4.166401
-109.0,-164.0,-155.0,2.199191,-3.970444
-154.0,-124.0,-143.0,2.761608,-3.470238
-185.0,-88.0,-129.0,3.125934,-2.689829
-198.0,-40.0,-117.0,3.151658,-1.745412
-197.0,-8.0,-108.0,2.727405,-0.86973
-192.0,17.0,-102.0,1.999787,-0.173117
-188.0,32.0,-107.0,1.166638,0.206857
-187.0,40.0,-103.0,0.379917,0.348145
-176.0,41.0,-101.0,-0.306468,0.355954
-177.0,55.0,-104.0,-0.845156,0.32056
-159.0,67.0,-102.0,-1.233197,0.26091
-132.0,91.0,-106.0,-1.603457,0.122782
-75.0,109.0,-116.0,-1.92347,-0.215767
-9.0,109.0,-134.0,-2.148032,-0.719402
46.0,93.0,-151.0,-2.203563,-1.448675
92.0,71.0,-168.0,-1.93411,-2.216514
126.0,45.0,-179.0,-1.437566,-2.82622
