mag_x,mag_y,mag_z,pitch,roll
-136.0,-134.0,-171.0,2.777376,-1.622575
-158.0,-111.0,-158.0,2.653572,-1.182356
-170.0,-91.0,-152.0,2.43797,-0.797975
-184.0,-67.0,-151.0,2.149826,-0.467809
-195.0,-48.0,-142.0,1.803669,-0.201003
-197.0,-25.0,-135.0,1.454358,-0.028292
-191.0,-2.0,-131.0,1.107339,0.085935
-199.0,19.0,-127.0,0.77421,0.134261
-186.0,33.0,-121.0,0.474393,0.117415
-182.0,52.0,-118.0,0.229699,0.079016
-171.0,64.0,-119.0,0.004791,0.029478
-148.0,86.0,-115.0,-0.494462,-0.215141
-133.0,97.0,-119.0,-0.649542,-0.35944
-99.0,113.0,-126.0,-0.835298,-0.553679
-42.0,127.0,-132.0,-1.063047,-0.861036
37.0,113.0,-149.0,-1.211879,-1.241766
117.0,68.0,-173.0,-1.391908,-1.765773
162.0,11.0,-191.0,-1.404547,-2.405028
177.0,-48.0,-206.0,-1.136199,-3.075364
172.0,-99.0,-217.0,-0.689319,-3.571799
151.0,-141.0,-220.0,-0.246681,-3.982829
114.0,-173.0,-213.0,0.272287,-4.146337
72.0,-187.0,-209.0,0.714471,-4.122421
30.0,-195.0,-200.0,1.018596,-3.920886
-10.0,-200.0,-191.0,1.199955,-3.646487
-51.0,-185.0,-181.0,1.292825,-3.302495
-87.0,-177.0,-174.0,1.298824,-2.96193
-113.0,-159.0,-160.0,1.26011,-2.612913
-144.0,-137.0,-148.0,1.19639,-2.279818
-164.0,-112.0,-139.0,1.109829,-1.941284
-179.0,-84.0,-134.0,0.993255,-1.626463
-199.0,-64.0,-125.0,0.867859,-1.321373
-197.0,-40.0,-124.0,0.749497,-1.056925
-198.0,-16.0,-119.0,0.644828,-0.818905
-197.0,5.0,-114.0,0.551817,-0.594801
-191.0,21.0,-122.0,0.45831,-0.390034
-190.0,30.0,-115.0,0.366409,-0.205675
-186.0,37.0,-111.0,0.264458,-0.040992
-187.0,43.0,-114.0,0.196073,0.112531
-186.0,35.0,-109.0,0.162644,0.250075
-187.0,31.0,-109.0,0.176386,0.366831
-191.0,34.0,-113.0,0.233787,0.464612
-192.0,35.0,-112.0,0.336985,0.53823
-191.0,28.0,-114.0,0.454182,0.578859
-193.0,24.0,-117.0,0.596972,0.59099
-198.0,24.0,-114.0,0.741416,0.587363
-197.0,23.0,-114.0,0.878252,0.56289
-194.0,24.0,-111.0,1.02888,0.524366
-192.0,20.0,-115.0,1.175843,0.476931
-194.0,21.0,-114.0,1.297554,0.424937
-200.0,17.0,-113.0,1.389702,0.36227
-199.0,9.0,-116.0,1.507783,0.291588
-197.0,3.0,-121.0,1.560082,0.215256
-199.0,-3.0,-117.0,1.554482,0.142312
-198.0,-11.0,-116.0,1.554657,0.052044
-200.0,-16.0,-124.0,1.567224,-0.044535
-196.0,-23.0,-125.0,1.552469,-0.140398
-204.0,-33.0,-123.0,1.571047,-0.230395
-199.0,-36.0,-124.0,1.614672,-0.327192
-198.0,-40.0,-124.0,1.632626,-0.408443
-197.0,-47.0,-126.0,1.638558,-0.47869
-196.0,-48.0,-130.0,1.632685,-0.536107
-195.0,-54.0,-131.0,1.62762,-0.577952
-198.0,-53.0,-129.0,1.635,-0.603133
-196.0,-57.0,-130.0,1.644792,-0.612139
-197.0,-56.0,-123.0,1.648999,-0.609984
-201.0,-53.0,-126.0,1.659835,-0.595965
-198.0,-51.0,-128.0,1.661096,-0.582488
-197.0,-52.0,-129.0,1.663059,-0.558311
-194.0,-52.0,-126.0,1.666487,-0.530351
-198.0,-47.0,-126.0,1.677993,-0.495024
-199.0,-42.0,-123.0,1.68866,-0.459359
-196.0,-43.0,-129.0,1.698574,-0.339789
-197.0,-43.0,-128.0,1.690225,-0.309484
-196.0,-42.0,-128.0,1.675447,-0.286345
-201.0,-41.0,-126.0,1.666263,-0.263723
-192.0,-45.0,-126.0,1.660834,-0.250639
-201.0,-46.0,-125.0,1.646216,-0.242739
-199.0,-43.0,-127.0,1.646913,-0.242358
-199.0,-39.0,-128.0,1.651794,-0.241464
-200.0,-45.0,-121.0,1.663062,-0.245141
-197.0,-43.0,-129.0,1.672435,-0.250644
-203.0,-43.0,-128.0,1.679274,-0.260119
-197.0,-47.0,-120.0,1.687393,-0.26847
-197.0,-46.0,-125.0,1.694746,-0.281971
-197.0,-46.0,-126.0,1.69278,-0.29561
-197.0,-44.0,-123.0,1.704567,-0.311704
-194.0,-47.0,-128.0,1.7307,-0.325879
-196.0,-45.0,-126.0,1.741675,-0.339842
-199.0,-42.0,-126.0,1.748431,-0.345912
-199.0,-45.0,-126.0,1.556701,-0.330558
-198.0,-54.0,-127.0,1.390746,-0.371613
-186.0,-74.0,-133.0,1.275099,-0.429852
-175.0,-93.0,-136.0,1.224105,-0.50309
-175.0,-102.0,-140.0,1.213977,-0.593719
-170.0,-102.0,-139.0,1.399152,-0.724758
-171.0,-105.0,-143.0,1.563745,-0.828375
-169.0,-106.0,-138.0,1.722767,-0.911202
-174.0,-107.0,-145.0,1.829496,-0.972182
-176.0,-103.0,-139.0,1.908803,-1.008497
-176.0,-101.0,-140.0,2.00702,-1.019643
-174.0,-103.0,-137.0,2.111348,-1.01326
-178.0,-97.0,-140.0,2.148972,-1.001468
-174.0,-100.0,-136.0,2.198919,-0.968952
-172.0,-101.0,-142.0,2.185727,-0.905278
-175.0,-93.0,-142.0,2.077824,-0.873938
-173.0,-102.0,-143.0,1.89685,-0.819889
-173.0,-111.0,-143.0,1.716762,-0.774743
-168.0,-115.0,-144.0,1.534659,-0.770618
-162.0,-119.0,-146.0,1.456005,-0.782099
