mag_x,mag_y,mag_z,pitch,roll
-205.0,-38.0,-122.0,1.56757,-0.380192
-204.0,-40.0,-125.0,1.569402,-0.374047
-204.0,-36.0,-120.0,1.567234,-0.365147
-202.0,-35.0,-124.0,1.568318,-0.360043
-206.0,-39.0,-121.0,1.569679,-0.354536
-206.0,-31.0,-121.0,1.572754,-0.347672
-206.0,-37.0,-123.0,1.568782,-0.344865
-206.0,-35.0,-125.0,1.568473,-0.343044
-207.0,-31.0,-124.0,1.566624,-0.342637
-204.0,-36.0,-123.0,1.562411,-0.345419
-209.0,-33.0,-125.0,1.559656,-0.349203
-209.0,-37.0,-121.0,1.563174,-0.352473
-209.0,-38.0,-123.0,1.566007,-0.353721
-208.0,-30.0,-122.0,1.568338,-0.347788
-203.0,-36.0,-122.0,1.570626,-0.337741
-209.0,-39.0,-123.0,1.567236,-0.331004
-208.0,-35.0,-122.0,1.564909,-0.328232
-205.0,-35.0,-125.0,1.565875,-0.326774
-204.0,-34.0,-122.0,1.566552,-0.330927
-207.0,-37.0,-123.0,1.572264,-0.341908
-210.0,-36.0,-121.0,1.581097,-0.355047
-205.0,-37.0,-122.0,1.585925,-0.36285
-206.0,-37.0,-121.0,1.588837,-0.368292
-209.0,-36.0,-121.0,1.595315,-0.37965
-205.0,-41.0,-125.0,1.596099,-0.388156
-202.0,-46.0,-122.0,1.593392,-0.396711
-209.0,-43.0,-123.0,1.593503,-0.409621
-206.0,-46.0,-126.0,1.58366,-0.41784
-208.0,-44.0,-126.0,1.553448,-0.42014
-206.0,-37.0,-124.0,1.499815,-0.410952
-208.0,-32.0,-117.0,1.432819,-0.385992
-208.0,-20.0,-118.0,1.340464,-0.33893
-207.0,4.0,-115.0,1.237033,-0.276339
-194.0,29.0,-114.0,1.055554,-0.184223
-171.0,65.0,-106.0,0.833066,-0.100329
-130.0,95.0,-111.0,0.463017,-0.091086
-93.0,111.0,-120.0,0.021725,-0.163397
-58.0,121.0,-131.0,-0.439588,-0.328446
-25.0,116.0,-134.0,-0.797207,-0.544788
-8.0,113.0,-138.0,-1.105311,-0.738048
18.0,112.0,-149.0,-1.309169,-0.856501
26.0,104.0,-147.0,-1.457279,-0.924652
33.0,108.0,-145.0,-1.566031,-0.922799
24.0,111.0,-149.0,-1.663762,-0.859448
14.0,111.0,-143.0,-1.748227,-0.758051
8.0,111.0,-141.0,-1.796298,-0.65974
20.0,109.0,-145.0,-1.820769,-0.596188
25.0,108.0,-148.0,-1.83901,-0.599373
38.0,104.0,-148.0,-1.857709,-0.723557
64.0,88.0,-161.0,-1.878079,-0.983065
92.0,77.0,-168.0,-1.884691,-1.351994
132.0,45.0,-185.0,-1.865456,-1.784169
154.0,11.0,-200.0,-1.686848,-2.232854
168.0,-23.0,-211.0,-1.392269,-2.606921
176.0,-39.0,-214.0,-1.089171,-2.845623
180.0,-53.0,-219.0,-0.830441,-2.949608
176.0,-56.0,-223.0,-0.665447,-2.944459
182.0,-50.0,-220.0,-0.694401,-2.866
176.0,-33.0,-212.0,-0.870951,-2.717425
166.0,-17.0,-208.0,-1.089055,-2.495777
151.0,18.0,-199.0,-1.329929,-2.17344
134.0,45.0,-181.0,-1.548399,-1.771761
98.0,74.0,-171.0,-1.679326,-1.345604
66.0,91.0,-159.0,-1.747457,-1.017173
58.0,95.0,-157.0,-1.786171,-0.806149
59.0,96.0,-157.0,-1.791772,-0.755239
65.0,88.0,-159.0,-1.817223,-0.917159
83.0,83.0,-166.0,-1.888008,-1.275143
116.0,62.0,-179.0,-1.929984,-1.775767
150.0,22.0,-197.0,-1.814481,-2.479517
177.0,-38.0,-219.0,-1.481142,-3.439934
176.0,-94.0,-230.0,-0.955294,-4.208292
159.0,-138.0,-225.0,-0.197023,-4.742809
136.0,-164.0,-237.0,0.566084,-4.906289
122.0,-178.0,-235.0,1.044502,-4.813308
119.0,-183.0,-233.0,1.209546,-4.425199
121.0,-179.0,-234.0,1.198023,-4.101735
130.0,-174.0,-230.0,0.952473,-3.761646
154.0,-152.0,-232.0,0.533065,-3.462932
166.0,-123.0,-231.0,-0.01159,-3.131783
178.0,-77.0,-220.0,-0.593606,-2.709149
177.0,-30.0,-212.0,-1.11933,-2.169674
150.0,23.0,-194.0,-1.514762,-1.51357
100.0,73.0,-176.0,-1.711375,-0.813557
35.0,105.0,-150.0,-1.773175,-0.164584
-29.0,119.0,-134.0,-1.640872,0.326265
-85.0,120.0,-117.0,-1.430248,0.607087
-118.0,102.0,-114.0,-1.232423,0.664016
-145.0,93.0,-109.0,-1.110535,0.532314
-152.0,87.0,-109.0,-1.02102,0.273648
-153.0,83.0,-109.0,-1.023007,-0.057274
-150.0,88.0,-112.0,-1.068985,-0.431439
-143.0,95.0,-113.0,-1.10987,-0.821843
-124.0,107.0,-115.0,-1.143963,-1.219416
-86.0,108.0,-118.0,-1.134161,-1.655482
-30.0,119.0,-135.0,-1.073143,-2.157477
48.0,100.0,-159.0,-0.903801,-2.625453
119.0,61.0,-185.0,-0.631111,-3.131888
160.0,7.0,-203.0,-0.261183,-3.478179
178.0,-44.0,-217.0,0.096838,-3.62588
178.0,-84.0,-228.0,0.378769,-3.584818
169.0,-116.0,-234.0,0.507472,-3.454757
164.0,-130.0,-235.0,0.496433,-3.172171
157.0,-139.0,-235.0,0.354165,-2.906957
155.0,-138.0,-234.0,0.112866,-2.662013
163.0,-132.0,-235.0,-0.210847,-2.424778
174.0,-109.0,-234.0,-0.575536,-2.203615
178.0,-87.0,-227.0,-0.939382,-1.944584
175.0,-52.0,-223.0,-1.256083,-1.634559
166.0,-10.0,-209.0,-1.486308,-1.262472
140.0,38.0,-195.0,-1.62212,-0.851458
98.0,76.0,-171.0,-1.690839,-0.517611
53.0,93.0,-161.0,-1.669397,-0.279953
17.0,114.0,-144.0,-1.646393,-0.185057
-7.0,118.0,-135.0,-1.644178,-0.245737
-19.0,123.0,-131.0,-1.684129,-0.44394
-24.0,121.0,-134.0,-1.725239,-0.689027
-19.0,120.0,-136.0,-1.800279,-1.023932
-6.0,118.0,-137.0,-1.840652,-1.414575
23.0,114.0,-148.0,-1.848188,-1.847078
53.0,97.0,-161.0,-1.786528,-2.314576
93.0,76.0,-169.0,-1.627966,-2.820534
137.0,42.0,-191.0,-1.34699,-3.304989
169.0,2.0,-206.0,-0.980699,-3.717423
178.0,-29.0,-220.0,-0.579728,-3.940165
181.0,-62.0,-217.0,-0.235753,-4.020414
178.0,-84.0,-229.0,-0.023415,-3.965672
171.0,-98.0,-227.0,0.059979,-3.812188
174.0,-112.0,-231.0,0.029099,-3.590539
170.0,-120.0,-232.0,-0.090868,-3.395222
167.0,-122.0,-234.0,-0.278453,-3.218825
174.0,-119.0,-235.0,-0.479447,-3.064998
175.0,-110.0,-233.0,-0.72214,-2.927585
175.0,-95.0,-229.0,-0.971609,-2.781499
180.0,-68.0,-224.0,-1.22584,-2.602567
176.0,-39.0,-219.0,-1.510051,-2.360658
164.0,-3.0,-204.0,-1.77134,-2.086884
138.0,39.0,-189.0,-1.959503,-1.698403
87.0,82.0,-166.0,-2.034748,-1.134652
4.0,114.0,-140.0,-1.948862,-0.493491
-83.0,119.0,-119.0,-1.634881,0.123882
-154.0,82.0,-110.0,-1.119028,0.662511
-197.0,27.0,-110.0,-0.492809,0.96626
-201.0,-43.0,-123.0,0.110862,0.944677
-182.0,-105.0,-142.0,0.56362,0.616445
-133.0,-151.0,-157.0,0.791606,0.046645
-80.0,-182.0,-178.0,0.814913,-0.606602
-27.0,-201.0,-189.0,0.613458,-1.290359
9.0,-201.0,-202.0,0.268381,-1.91313
27.0,-204.0,-200.0,0.028194,-2.413996
33.0,-203.0,-205.0,-0.102591,-2.908073
32.0,-204.0,-204.0,-0.12628,-3.397572
22.0,-205.0,-198.0,0.014581,-3.845449
