mag_x,mag_y,mag_z,pitch,roll
-161.0,79.0,-114.0,0.516545,0.032335
-166.0,79.0,-113.0,0.530716,0.036545
-156.0,80.0,-116.0,0.543581,0.041548
-160.0,78.0,-115.0,0.554791,0.049357
-157.0,81.0,-118.0,0.55561,0.052275
-157.0,77.0,-118.0,0.546679,0.058624
-157.0,79.0,-114.0,0.534905,0.057463
-158.0,79.0,-114.0,0.516632,0.058039
-158.0,78.0,-119.0,0.4958,0.06181
-156.0,80.0,-112.0,0.484173,0.066916
-160.0,79.0,-115.0,0.482374,0.068648
-158.0,78.0,-115.0,0.486765,0.077599
-163.0,78.0,-117.0,0.498521,0.083485
-155.0,76.0,-116.0,0.513082,0.0881
-155.0,79.0,-110.0,0.525023,0.093912
-157.0,79.0,-114.0,0.537099,0.101546
-160.0,82.0,-118.0,0.540836,0.105419
-153.0,80.0,-112.0,0.545525,0.105659
-160.0,80.0,-119.0,0.544533,0.104298
-157.0,81.0,-118.0,0.540335,0.101915
-160.0,79.0,-113.0,0.526179,0.101749
-156.0,75.0,-114.0,0.511352,0.10222
-156.0,81.0,-115.0,0.490327,0.102421
-156.0,81.0,-118.0,0.468644,0.099974
-157.0,80.0,-117.0,0.406332,0.031166
-160.0,76.0,-120.0,0.351672,-0.04368
-153.0,83.0,-111.0,0.271818,-0.132008
-145.0,93.0,-116.0,0.130591,-0.263358
-120.0,109.0,-118.0,-0.060925,-0.41859
-74.0,125.0,-127.0,-0.251259,-0.533822
-1.0,122.0,-138.0,-0.454502,-0.742688
67.0,100.0,-155.0,-0.643471,-1.054605
120.0,65.0,-173.0,-0.779063,-1.430531
151.0,28.0,-186.0,-0.821444,-1.857862
171.0,-12.0,-194.0,-0.812502,-2.273947
183.0,-49.0,-202.0,-0.820535,-2.623868
176.0,-75.0,-209.0,-0.813651,-2.906811
175.0,-93.0,-211.0,-0.842178,-3.067362
170.0,-91.0,-210.0,-0.943054,-3.118266
171.0,-91.0,-211.0,-1.092385,-3.118939
178.0,-88.0,-212.0,-1.263821,-3.052691
179.0,-81.0,-210.0,-1.622729,-2.658228
179.0,-72.0,-210.0,-1.623638,-2.536504
178.0,-55.0,-204.0,-1.597535,-2.397642
178.0,-38.0,-200.0,-1.561787,-2.209865
